codigo_wmo,nome,uf,regiao,latitude,longitude,altitude,data_fundacao,anos_com_dados
A338,,PI,,-3.90083333,-42.23694444,65.0,,"2007,2008,2010,2011,2012,2013,2014,2015,2016,2017"
A454,,BA,,-13.03888888,-42.61722221,574.0,,"2016,2017,2018"
S108,,MA,,-2.7,-44.85,,,"2016,2017,2018"
A362,,PI,,-5.91111111,-42.7186111,287.0,,"2010,2011,2012,2013,2014,2015,2016,2017,2018"
S102,,AM,,-2.93055554,-69.69527777,,,"2016,2017,2018"
S103,,AM,,-3.02249999,-60.05555555,,,"2016,2017,2018"
S105,,AM,,-4.25055555,-69.93499999,,,"2016,2017,2018"
S115,,AM,,0.59944444,-69.19194444,,,"2016,2017,2018"
S116,,AM,,-4.52999999,-71.61749999,,,"2016,2017,2018"
S117,,AM,,-3.37722221,-64.72305554,,,"2016,2017,2018"
S121,,AM,,-0.41444444,-65.01749999,,,"2016,2017,2018"
S107,,PA,,-4.28999999,-47.55,,,"2016,2017,2018"
S111,,PA,,-3.8,-47.51,,,"2016,2017,2018"
S120,,PA,,-6.23722221,-57.77499999,,,"2016,2017,2018"
S101,,RO,,-12.42999999,-64.41999999,,,"2016,2017,2018"
S104,,RO,,-12.75055555,-60.14916666,,,"2016,2017,2018"
S110,,RO,,-10.78999999,-65.33277777,,,"2016,2017,2018"
S113,,RR,,0.94777777,-59.74638888,,,"2016,2017,2018"
S114,,RR,,4.47749999,-61.14916666,,,"2016,2017,2018"
S122,,MG,,3.35888888,-59.82388888,,,"2016,2017,2018"
A847,,PR,,-25.49444444,-48.32583332,1.0,,"2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018"
A941,,MT,,-16.07472221,-57.69305555,123.53,,"2012,2013,2014,2015,2016,2017,2018,2019"
A302,,RN,,0.916877,-29.345904,15.0,,"2003,2004,2005,2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019"
A757,BELA VISTA,MS,CO,-22.10166666,-56.54083333,206.09,09/08/11,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2021"
S701,ANGELICA,MS,CO,-22.148083,-53.763736,347.0,09/04/18,"2018,2019,2021"
S702,ARAL MOREIRA,MS,CO,-22.955,-55.6261111,605.0,13/04/18,"2018,2019,2021"
S703,BANDEIRANTES,MS,CO,-19.94555555,-54.3686111,624.0,29/01/18,"2018,2019,2021"
S704,BONITO,MS,CO,-21.24666666,-56.45055555,329.0,06/08/18,"2018,2019,2021"
S705,BRASILANDIA,MS,CO,-21.29833333,-52.06888888,345.0,06/04/18,"2018,2019,2021"
S706,CAARAPO,MS,CO,-22.657056,-54.819306,456.0,03/03/18,"2018,2019,2021"
S707,CAMAPUA,MS,CO,-19.58749999,-54.02999999,540.0,19/02/18,"2018,2019,2021"
S708,FATIMA DO SUL,MS,CO,-22.30861111,-54.32583332,340.0,28/02/18,"2018,2019,2021"
S709,IGUATEMI,MS,CO,-23.64444444,-54.57027777,319.0,19/02/18,"2018,2019,2021"
S710,ITAPORA,MS,CO,-22.092833,-54.798833,360.0,26/02/18,"2018,2019,2021"
S711,LAGUNA CARAPA,MS,CO,-22.575389,-55.160333,499.0,12/04/18,"2018,2019,2021"
S712,NOVA ALVORADA DO SUL,MS,CO,-21.450972,-54.341972,5.0,23/02/18,"2018,2019,2021"
S713,NOVA ANDRADINA,MS,CO,-22.0786111,-53.46583333,372.0,09/04/18,"2018,2019,2021"
S714,PEDRO GOMES,MS,CO,-18.07277777,-54.54888888,251.0,02/02/18,"2018,2019,2021"
S715,RIBAS DO RIO PARDO,MS,CO,-20.466694,-53.763028,442.0,18/01/18,"2018,2019,2021"
S716,SANTA RITA DO PARDO,MS,CO,-21.305889,-52.820375,383.0,19/02/18,"2018,2019,2021"
S717,SELVIRIA,MS,CO,-20.35138888,-51.43027777,374.0,05/04/18,"2018,2019,2021"
A435,UAUA,BA,NE,-9.8336111,-39.49555555,450.6,20/05/08,"2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021"
A449,PILAO ARCADO,BA,NE,-10.01833332,-42.50027777,385.0,28/05/16,"2016,2017,2018,2019,2021"
A420,CARIRA,SE,NE,-10.39972221,-37.74749999,289.92,28/03/08,"2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021"
A623,NOVA VENECIA,ES,SE,-18.69527777,-40.39055555,156.02,22/06/08,"2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021"
A635,ITATIAIA,RJ,SE,-22.37388888,-44.70305555,2450.0,01/09/17,"2017,2018,2019,2021"
A729,VOTUPORANGA,SP,SE,-20.40333333,-49.96611111,510.37,04/12/06,"2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021"
A767,SAO SEBASTIAO,SP,SE,-23.81083333,-45.4025,24.0,25/10/17,"2017,2018,2019,2021"
