ibge_municipio,codigo_wmo,distancia_km,n_estacoes_50km,n_estacoes_100km,sem_cobertura_inmet
5200050,A002,26.75,1,3,False
3100104,A034,67.33,0,2,False
5200100,A037,54.48,0,6,False
3100203,A536,39.58,1,2,False
1500107,A201,59.82,0,2,False
2300101,A315,25.8,1,4,False
2900108,A430,15.98,1,2,False
2900207,A329,32.56,1,4,False
4100103,A842,29.66,2,4,False
4200051,A898,31.32,1,7,False
1500131,A214,28.07,1,3,False
4200101,A876,17.36,2,6,False
3100302,A556,30.67,1,5,False
2600054,A301,18.85,1,3,False
1700251,A041,62.86,0,1,False
3100401,A510,53.51,0,5,False
2100055,A225,67.83,0,4,False
2900306,A417,49.32,1,3,False
1500206,A201,66.02,0,3,False
2300150,A314,28.11,2,3,False
2300200,A360,26.18,1,3,False
2400109,A316,49.95,1,2,False
2200053,A330,11.74,1,1,False
4300034,B828,4.05,1,5,False
2300309,A319,39.49,1,3,False
5100102,A944,41.47,1,6,False
1200013,A104,107.47,0,0,True
5200134,A027,48.5,2,3,False
2400208,A372,7.11,1,4,False
3100500,A533,52.45,0,4,False
3500105,A734,42.99,1,5,False
5200159,A014,52.66,0,2,False
3500204,A735,32.88,2,4,False
4100202,A746,67.13,0,5,False
2900355,A419,21.61,2,8,False
2600104,A334,58.26,0,6,False
2400307,A317,38.63,2,3,False
3200102,A657,3.55,2,9,False
2100105,A206,43.84,1,2,False
2600203,A330,44.65,1,1,False
1500305,A249,80.95,0,2,False
2600302,A341,14.74,2,4,False
2200103,A362,13.97,2,3,False
4200200,A863,17.31,1,8,False
4200309,A863,17.96,1,8,False
1500347,A247,70.65,0,3,False
3100609,A541,31.8,1,2,False
5100201,A908,6.76,1,3,False
2200202,A362,9.37,2,3,False
2500106,A373,59.69,0,4,False
2700102,A371,44.22,1,3,False
5000203,A756,0.34,1,3,False
3100708,A520,9.25,3,6,False
4200408,A841,18.99,1,7,False
2100154,A308,46.26,1,2,False
3200169,A540,25.84,2,4,False
2900405,A441,35.72,2,4,False
5200175,A045,70.8,0,4,False
5200209,A003,51.65,0,4,False
2400406,A358,49.59,1,3,False
2600401,A357,6.35,1,5,False
4300059,A839,37.11,2,8,False
3500303,A738,32.5,2,6,False
3100807,A524,54.75,0,4,False
2600500,A327,64.96,0,7,False
3500402,A530,34.54,2,4,False
4200507,A895,34.17,2,9,False
3500501,A739,19.01,1,5,False
3500550,A725,39.37,1,5,False
3500600,A726,28.21,1,4,False
3100906,A550,80.87,0,1,False
4200556,A895,31.68,2,7,False
5200258,A042,14.87,3,8,False
4200606,A870,21.52,2,6,False
3101003,A549,0.96,1,3,False
4300109,B854,18.16,3,8,False
3500709,A705,13.13,2,4,False
4100301,A862,37.43,1,5,False
3200136,A540,34.16,2,7,False
2500205,A373,25.37,2,4,False
1700301,A224,12.43,1,2,False
3101102,A534,3.95,1,6,False
2900603,A445,22.25,1,3,False
2300408,A347,62.48,0,3,False
3101201,A635,45.66,1,7,False
4300208,B843,10.11,5,13,False
3101300,A635,23.44,3,8,False
2500304,A310,12.89,2,6,False
2500403,A310,9.81,2,6,False
2500502,A310,20.66,1,5,False
2600609,A309,30.66,1,4,False
2200251,A343,53.11,0,2,False
2900702,A413,59.83,0,6,False
3500758,A713,34.73,2,3,False
3101409,A739,30.82,2,6,False
2100204,A203,25.88,1,3,False
2300507,A306,28.81,1,3,False
2500536,A328,31.05,2,5,False
5000252,A760,59.21,0,3,False
2900801,A405,25.14,1,3,False
2100303,A237,25.76,1,3,False
4300307,A810,37.33,2,6,False
3200201,A617,5.19,1,7,False
4300406,B847,9.56,2,4,False
2200277,A347,57.46,0,2,False
4300455,A805,26.11,2,10,False
3101508,A629,13.71,1,13,False
1500404,A250,61.89,0,3,False
2400505,A333,58.06,0,3,False
5200308,A046,42.85,1,6,False
3101607,A567,28.38,1,3,False
3200300,A615,1.33,2,8,False
3500808,A707,18.61,1,6,False
3101631,A502,8.33,2,5,False
4200705,A870,28.2,3,8,False
2500577,A310,33.82,2,4,False
2500601,A320,32.69,1,3,False
2600708,A301,58.35,0,5,False
1700350,A019,50.46,0,4,False
2900900,A410,49.8,1,4,False
1700400,A053,32.05,2,2,False
1500503,A245,61.29,0,1,False
3101706,A508,1.48,1,3,False
2400604,A340,58.19,0,4,False
4100400,B806,14.68,2,5,False
4300471,B842,25.15,2,12,False
5200506,A003,39.78,1,3,False
3101805,A532,16.0,1,3,False
4300505,B846,28.02,3,9,False
3101904,A516,28.74,1,2,False
5100250,A924,25.5,2,3,False
1100015,A939,81.31,0,1,False
3500907,A748,53.46,0,4,False
1500602,A253,21.78,1,2,False
2100402,A220,75.41,0,1,False
4100459,B803,26.79,1,4,False
2300606,A315,61.3,0,3,False
3102001,A567,52.08,0,4,False
2600807,A341,14.85,1,4,False
3501004,A561,29.42,2,7,False
3501103,A727,45.77,1,5,False
1400050,A135,71.06,0,1,False
4300554,A883,18.22,3,12,False
2100436,A220,38.85,1,1,False
2100477,A255,49.04,1,2,False
1100379,A939,87.89,0,1,False
5100300,A909,2.77,1,3,False
4200754,A841,45.03,3,8,False
5100359,A943,35.22,1,3,False
3102050,A556,37.22,1,6,False
2400703,A317,24.4,2,3,False
4300570,B818,24.96,8,23,False
5100409,A909,54.29,0,2,False
5200555,A015,89.61,0,1,False
3153509,A556,28.51,1,6,False
2200301,A376,44.18,1,4,False
5100508,A949,18.43,2,3,False
4128625,A816,34.04,1,6,False
1100403,A940,47.0,1,1,False
5200605,A024,1.47,1,1,False
4100608,A835,49.84,1,4,False
2100501,A223,0.65,1,1,False
4100707,A825,43.57,1,6,False
3102100,A502,43.57,1,6,False
3200359,A540,31.48,1,5,False
2300705,A332,47.53,1,4,False
5100607,A934,2.18,1,4,False
4100509,A752,55.66,0,5,False
2200400,A312,37.68,2,2,False
3501152,A713,35.7,2,7,False
1300029,S117,18.77,1,1,False
3102209,A554,55.31,0,4,False
3501202,A729,10.71,1,4,False
3501301,A707,8.15,1,4,False
3501400,A763,30.4,2,5,False
3501509,A763,31.16,1,5,False
3102308,A511,74.72,0,7,False
1700707,A054,45.61,1,5,False
4300604,B808,6.1,8,23,False
1100346,A939,93.37,0,1,False
3102407,A533,44.7,1,2,False
2200459,A336,10.51,1,3,False
5200803,A017,45.45,1,1,False
4100806,A718,52.43,0,5,False
1400027,S114,95.66,0,1,False
5000609,A750,15.67,3,9,False
1600105,A251,165.14,0,0,True
2100550,A219,70.03,0,1,False
4100905,A869,32.98,1,5,False
2600906,A357,34.73,1,4,False
4300638,A838,40.49,2,7,False
5200829,A005,70.97,0,1,False
2200509,A377,21.34,2,3,False
2100600,A207,70.32,0,2,False
2901007,A434,2.1,1,5,False
1300060,S102,173.15,0,0,True
2901106,A413,31.59,2,5,False
2901155,A424,48.08,1,1,False
3501608,A726,30.01,1,5,False
5200852,A014,38.56,1,3,False
3501707,A711,36.73,2,6,False
3501806,A729,26.68,1,4,False
4300646,A854,24.64,2,9,False
2300754,A359,30.01,2,3,False
5200902,A028,22.2,1,3,False
2500734,A334,38.35,1,4,False
3501905,A739,32.85,2,7,False
2800100,A353,50.46,0,9,False
3102506,A510,29.36,1,4,False
4101002,A855,35.38,3,5,False
2700201,A353,36.62,3,7,False
2901205,A414,46.92,1,2,False
4101051,B803,34.65,1,3,False
1500701,A228,97.03,0,1,False
2100709,S108,67.9,0,2,False
3502002,A711,28.22,1,7,False
1300086,A119,90.46,0,1,False
1701002,A224,79.19,0,3,False
1500800,A201,8.94,2,3,False
5201108,A002,45.13,1,3,False
1500859,A210,74.97,0,1,False
2100808,A206,28.81,1,2,False
5000708,A719,2.86,1,2,False
5000807,A849,53.49,0,5,False
4200804,A857,33.01,2,8,False
3200409,A615,20.49,2,8,False
2901304,A425,28.22,1,2,False
4101101,A716,40.04,1,5,False
2901353,A428,35.43,1,4,False
3102605,A530,25.78,2,5,False
3502101,A704,36.51,1,5,False
4300661,A894,29.65,3,13,False
3102803,A514,70.86,0,7,False
3502200,A715,61.26,0,4,False
3102852,A541,13.48,1,2,False
5000856,S701,0.89,3,6,False
2601003,A322,22.51,1,7,False
