year,coluna,n_valid_antes,media_antes,min_antes,max_antes,fora_da_faixa_pct_antes,n_valid_depois,media_depois,min_depois,max_depois,fora_da_faixa_pct_depois,mudou_media
2018,precipitacao_mm,4390951,0.157,0.0,96.6,0.0,4390951,0.157,0.0,96.6,0.0,False
2018,pressao_max_mbar,4616060,966.352,726.1,1049.2,0.0,4616060,966.352,726.1,1049.2,0.0,False
2018,pressao_mbar,4618965,966.088,723.8,1050.0,0.0,4618965,966.088,723.8,1050.0,0.0,False
2018,pressao_min_mbar,4615836,965.794,723.8,1050.0,0.0,4615836,965.794,723.8,1050.0,0.0,False
2018,radiacao_kj_m2,2586831,1312.477,0.0,6889.9,0.0,2586831,1312.477,0.0,6889.9,0.0,False
2018,temp_inst_c,4626982,23.37,-5.8,45.0,0.0,4626982,23.37,-5.8,45.0,0.0,False
2018,temp_max_c,4475924,17.365,-36.0,35.2,0.039,4623722,24.03,-3.9,45.0,0.0,True
2018,temp_min_c,4623722,24.03,-3.9,45.0,0.0,4623740,22.74,-6.2,44.4,0.0,True
2018,temp_orvalho_c,4623740,22.74,-6.2,44.4,0.005,4475924,17.365,-36.0,35.2,0.0,True
2018,temp_orvalho_max_c,0,,,,,4472065,17.903,-35.0,36.5,0.0,True
2018,temp_orvalho_min_c,0,,,,,4469466,16.849,-35.0,30.1,0.0,True
2018,umidade_inst_pct,4469466,16.849,-35.0,30.1,0.318,4475287,72.489,6.0,100.0,0.0,True
2018,umidade_max_pct,4477548,75.198,3.0,100.0,0.0,4477548,75.198,3.0,100.0,0.0,False
2018,umidade_min_pct,4470661,69.614,5.0,100.0,0.0,4470661,69.614,5.0,100.0,0.0,False
2018,vento_dir_graus,4475287,72.489,6.0,100.0,0.0,4505969,157.704,0.0,360.0,0.0,True
2018,vento_rajada_ms,4505969,157.704,0.0,360.0,65.014,4501887,4.671,0.0,78.7,0.0,True
2018,vento_vel_ms,4501887,4.671,0.0,78.7,0.0,4506946,1.885,0.0,20.8,0.0,True
2019,precipitacao_mm,4433500,0.153,0.0,96.0,0.0,4433500,0.153,0.0,96.0,0.0,False
2019,pressao_max_mbar,4617942,965.926,720.7,1050.0,0.0,4617942,965.926,720.7,1050.0,0.0,False
2019,pressao_mbar,4621086,965.648,720.6,1050.0,0.0,4621086,965.648,720.6,1050.0,0.0,False
2019,pressao_min_mbar,4618080,965.361,720.6,1050.0,0.0,4618080,965.361,720.6,1050.0,0.0,False
2019,radiacao_kj_m2,2648131,1328.929,0.0,13321.9,0.0,2648131,1328.929,0.0,13321.9,0.0,False
2019,temp_inst_c,4625114,23.847,-7.6,44.8,0.0,4625114,23.847,-7.6,44.8,0.0,False
2019,temp_max_c,4484643,17.483,-28.3,39.8,0.001,4621985,24.524,-6.8,44.8,0.0,True
2019,temp_min_c,4621985,24.524,-6.8,44.8,0.0,4621820,23.201,-8.1,44.0,0.0,True
2019,temp_orvalho_c,4621820,23.201,-8.1,44.0,0.001,4484643,17.483,-28.3,39.8,0.0,True
2019,temp_orvalho_max_c,0,,,,,4480180,18.032,-27.9,40.3,0.0,True
2019,temp_orvalho_min_c,0,,,,,4477168,16.956,-32.8,35.3,0.0,True
2019,umidade_inst_pct,4477168,16.956,-32.8,35.3,0.427,4484863,71.384,4.0,100.0,0.0,True
2019,umidade_max_pct,4483526,74.175,4.0,100.0,0.0,4483526,74.175,4.0,100.0,0.0,False
