feature,grupo,dtype,pct_missing
dewpoint_mean_c,base,float64,15.74
humidity_mean_pct,base,float64,15.5
pressure_mean_mbar,base,float64,13.73
radiation_mean_kj,base,float64,15.0
rain_days,base,float64,20.41
rain_heavy_days,base,float64,20.41
rain_mean_mm,base,float64,20.41
rain_sum_mm,base,float64,20.41
temp_max_c,base,float64,14.06
temp_mean_c,base,float64,13.98
temp_min_c,base,float64,14.05
temp_range_c,base,float64,14.06
wind_gust_mean_ms,base,float64,17.32
wind_speed_mean_ms,base,float64,17.26
dewpoint_mean_c_lag_1,lag,float64,15.96
dewpoint_mean_c_lag_12,lag,float64,18.42
dewpoint_mean_c_lag_2,lag,float64,16.17
dewpoint_mean_c_lag_4,lag,float64,16.62
dewpoint_mean_c_lag_8,lag,float64,17.52
humidity_mean_pct_lag_1,lag,float64,15.72
humidity_mean_pct_lag_12,lag,float64,18.21
humidity_mean_pct_lag_2,lag,float64,15.94
humidity_mean_pct_lag_4,lag,float64,16.39
humidity_mean_pct_lag_8,lag,float64,17.3
rain_heavy_days_lag2,lag,float64,20.81
rain_heavy_days_lag4,lag,float64,21.23
rain_sum_mm_lag_1,lag,float64,20.61
rain_sum_mm_lag_12,lag,float64,22.92
rain_sum_mm_lag_2,lag,float64,20.81
rain_sum_mm_lag_4,lag,float64,21.23
rain_sum_mm_lag_8,lag,float64,22.08
temp_mean_c_lag_1,lag,float64,14.21
temp_mean_c_lag_12,lag,float64,16.78
temp_mean_c_lag_2,lag,float64,14.43
temp_mean_c_lag_4,lag,float64,14.9
temp_mean_c_lag_8,lag,float64,15.84
temp_range_c_lag2,lag,float64,14.51
dewpoint_mean_c_mm12,media_movel,float64,12.83
dewpoint_mean_c_mm4,media_movel,float64,15.23
dewpoint_mean_c_mm8,media_movel,float64,13.25
humidity_mean_pct_mm12,media_movel,float64,12.65
humidity_mean_pct_mm4,media_movel,float64,15.0
humidity_mean_pct_mm8,media_movel,float64,13.05
rain_sum_mm_mm12,media_movel,float64,15.86
rain_sum_mm_mm4,media_movel,float64,19.64
rain_sum_mm_mm8,media_movel,float64,16.66
temp_mean_c_mm12,media_movel,float64,11.36
temp_mean_c_mm4,media_movel,float64,13.55
temp_mean_c_mm8,media_movel,float64,11.74
