uf,n_linhas,n_municipios,pct_rain_sum_mm,pct_temp_mean_c,pct_humidity_mean_pct,pct_completo
DF,367,1,99.73,99.73,99.73,99.73
MG,312201,853,91.82,95.12,94.36,91.0
RJ,33672,92,91.75,93.13,92.31,90.86
GO,90036,246,85.2,92.48,92.57,85.06
ES,28655,78,89.71,94.26,89.56,84.92
SC,107238,293,84.94,86.44,85.92,80.64
SP,236072,645,79.53,86.73,85.99,78.77
PB,81618,223,81.19,86.09,81.18,77.2
PR,146034,399,77.37,80.48,79.76,76.81
TO,50874,139,81.38,83.78,83.61,76.06
BA,152622,417,74.18,82.35,80.71,72.49
PE,67710,185,68.4,81.34,79.31,66.57
PA,52705,144,64.54,68.38,67.42,62.66
CE,67344,184,62.13,70.14,69.12,61.39
SE,27450,75,63.5,68.06,65.03,59.53
RN,61122,167,61.15,75.17,71.37,58.37
PI,81984,224,60.33,69.33,68.65,58.29
MA,79422,217,56.85,68.25,67.28,55.7
MS,28914,79,56.4,64.81,64.16,55.69
RO,19032,52,54.82,55.82,55.15,54.16
AL,37332,102,57.59,77.05,66.37,52.05
AP,5856,16,51.31,51.47,50.05,49.9
AM,22692,62,48.33,55.03,55.53,47.1
RS,180438,493,46.88,48.39,47.46,45.91
AC,8078,22,45.73,49.74,46.58,42.57
MT,51972,142,44.93,50.84,49.0,42.19
RR,5490,15,29.82,33.53,29.49,29.49
