ibge_municipio,semanas,semanas_completas,cobertura
3100104,262,258,0.9847328244274809
3100203,262,252,0.9618320610687023
3100302,262,245,0.9351145038167938
3100401,262,255,0.9732824427480916
3100500,262,257,0.9809160305343512
3100609,262,214,0.816793893129771
3100708,262,261,0.9961832061068703
3100807,262,249,0.950381679389313
3100906,262,228,0.8702290076335878
3101003,262,237,0.9045801526717557
3101102,262,202,0.7709923664122137
3101201,262,152,0.5801526717557252
3101300,262,152,0.5801526717557252
3101409,262,162,0.6183206106870229
3101508,262,234,0.8931297709923665
3101607,262,259,0.9885496183206107
3101631,262,214,0.816793893129771
3101706,262,242,0.9236641221374046
3101805,262,260,0.9923664122137404
3101904,262,256,0.9770992366412213
3102001,262,259,0.9885496183206107
3102050,262,245,0.9351145038167938
3102100,262,214,0.816793893129771
3102209,262,239,0.9122137404580153
3102308,262,255,0.9732824427480916
3102407,262,257,0.9809160305343512
3102506,262,255,0.9732824427480916
3102605,262,206,0.7862595419847328
3102704,262,237,0.9045801526717557
3102803,262,248,0.9465648854961832
3102852,262,214,0.816793893129771
3102902,262,214,0.816793893129771
3103009,262,255,0.9732824427480916
3103108,262,245,0.9351145038167938
3103207,262,247,0.9427480916030534
3103306,262,247,0.9427480916030534
3103405,262,261,0.9961832061068703
3103504,262,257,0.9809160305343512
3103603,262,258,0.9847328244274809
3103702,262,255,0.9732824427480916
3103751,262,261,0.9961832061068703
3103801,262,247,0.9427480916030534
3103900,262,258,0.9847328244274809
3104007,262,234,0.8931297709923665
3104106,262,154,0.5877862595419847
3104205,262,249,0.950381679389313
3104304,262,259,0.9885496183206107
3104403,262,234,0.8931297709923665
3104452,262,214,0.816793893129771
3104502,262,180,0.6870229007633588
3104601,262,247,0.9427480916030534
3104700,262,252,0.9618320610687023
3104809,262,260,0.9923664122137404
3104908,262,253,0.9656488549618321
3105004,262,247,0.9427480916030534
3105103,262,261,0.9961832061068703
3105202,262,242,0.9236641221374046
3105301,262,206,0.7862595419847328
3105400,262,0,0.0
3105509,262,245,0.9351145038167938
3105608,262,214,0.816793893129771
3105707,262,255,0.9732824427480916
3105905,262,214,0.816793893129771
3106002,262,255,0.9732824427480916
3106101,262,259,0.9885496183206107
3106200,262,0,0.0
3106309,262,255,0.9732824427480916
3106408,262,252,0.9618320610687023
3106507,262,261,0.9961832061068703
3106606,262,255,0.9732824427480916
3106655,262,237,0.9045801526717557
3106705,262,255,0.9732824427480916
3106804,262,214,0.816793893129771
3106903,262,247,0.9427480916030534
3107000,262,261,0.9961832061068703
3107109,262,206,0.7862595419847328
3107208,262,258,0.9847328244274809
3107307,262,224,0.8549618320610687
3107406,262,252,0.9618320610687023
3107505,262,258,0.9847328244274809
3107604,262,256,0.9770992366412213
3107703,262,261,0.9961832061068703
3107802,262,239,0.9122137404580153
3107901,262,232,0.8854961832061069
3108008,262,261,0.9961832061068703
3108107,262,255,0.9732824427480916
3108206,262,223,0.851145038167939
3108255,262,260,0.9923664122137404
3108305,262,206,0.7862595419847328
3108404,262,206,0.7862595419847328
3108503,262,224,0.8549618320610687
3108552,262,249,0.950381679389313
3108602,262,223,0.851145038167939
3108701,262,255,0.9732824427480916
3108800,262,257,0.9809160305343512
3108909,262,243,0.9274809160305344
3109006,262,255,0.9732824427480916
3109105,262,162,0.6183206106870229
3109204,262,260,0.9923664122137404
3109253,262,239,0.9122137404580153
3109303,262,180,0.6870229007633588
3109402,262,260,0.9923664122137404
3109451,262,261,0.9961832061068703
3109501,262,206,0.7862595419847328
3109600,262,247,0.9427480916030534
3109709,262,243,0.9274809160305344
3109808,262,261,0.9961832061068703
3109907,262,247,0.9427480916030534
3110004,262,0,0.0
3110103,262,224,0.8549618320610687
3110202,262,255,0.9732824427480916
3110301,262,206,0.7862595419847328
3110400,262,261,0.9961832061068703
3110509,262,232,0.8854961832061069
3110608,262,232,0.8854961832061069
3110707,262,206,0.7862595419847328
3110806,262,252,0.9618320610687023
3110905,262,206,0.7862595419847328
3111002,262,206,0.7862595419847328
3111101,262,261,0.9961832061068703
3111150,262,223,0.851145038167939
3111200,262,261,0.9961832061068703
3111309,262,259,0.9885496183206107
