feature,dtype,pct_missing
ano,int64,0.0
semana_epidemiologica,int64,0.0
qt_hospitalizados,float64,0.0
qt_obitos_agravo,float64,0.0
qt_obitos_outras_causas,float64,0.0
qt_confirmados_provaveis,float64,0.0
qt_descartados,float64,0.0
qt_inconclusivos,float64,0.0
qt_dengue_alarme,float64,0.0
qt_dengue_grave,float64,0.0
qt_chikungunya,float64,0.0
idade_media_anos,float64,0.0
atraso_notificacao_medio_dias,float64,0.0
prop_sexo_masc,float64,0.0
prop_sexo_fem,float64,0.0
prop_gestante,float64,0.0
prop_hospitalizado,float64,0.0
prop_obito_agravo,float64,0.0
prop_obito_outras_causas,float64,0.0
prop_criterio_lab,float64,0.0
prop_criterio_clinico_epi,float64,0.0
prop_criterio_clinico,float64,0.0
prop_confirmado_provavel,float64,0.0
prop_descartado,float64,0.0
prop_inconclusivo,float64,0.0
prop_dengue_alarme,float64,0.0
prop_dengue_grave,float64,0.0
prop_chikungunya,float64,0.0
prop_raca_branca,float64,0.0
prop_raca_preta,float64,0.0
prop_raca_amarela,float64,0.0
prop_raca_parda,float64,0.0
prop_raca_indigena,float64,0.0
prop_febre,float64,0.0
prop_mialgia,float64,0.0
prop_cefaleia,float64,0.0
prop_exantema,float64,0.0
prop_vomito,float64,0.0
prop_nausea,float64,0.0
prop_dor_costas,float64,0.0
prop_conjuntvit,float64,0.0
prop_artrite,float64,0.0
prop_artralgia,float64,0.0
prop_petequia_n,float64,0.0
prop_leucopenia,float64,0.0
prop_laco,float64,0.0
prop_dor_retro,float64,0.0
prop_diabetes,float64,0.0
prop_hematolog,float64,0.0
prop_hepatopat,float64,0.0
prop_renal,float64,0.0
prop_hipertensa,float64,0.0
prop_acido_pept,float64,0.0
prop_auto_imune,float64,0.0
prop_alrm_hipot,float64,0.0
prop_alrm_plaq,float64,0.0
prop_alrm_vom,float64,0.0
prop_alrm_sang,float64,0.0
prop_alrm_hemat,float64,0.0
prop_alrm_abdom,float64,0.0
prop_alrm_letar,float64,0.0
prop_alrm_hepat,float64,0.0
prop_alrm_liq,float64,0.0
prop_grav_pulso,float64,0.0
prop_grav_conv,float64,0.0
prop_grav_ench,float64,0.0
prop_grav_insuf,float64,0.0
prop_grav_taqui,float64,0.0
prop_grav_extre,float64,0.0
prop_grav_hipot,float64,0.0
prop_grav_hemat,float64,0.0
prop_grav_melen,float64,0.0
prop_grav_metro,float64,0.0
prop_grav_sang,float64,0.0
prop_grav_ast,float64,0.0
prop_grav_mioc,float64,0.0
prop_grav_consc,float64,0.0
prop_grav_orgao,float64,0.0
prop_mani_hemor,float64,0.0
prop_epistaxe,float64,0.0
prop_gengivo,float64,0.0
prop_metro,float64,0.0
prop_petequias,float64,0.0
prop_hematura,float64,0.0
prop_sangram,float64,0.0
prop_laco_n,float64,0.0
prop_plasmatico,float64,0.0
prop_evidencia,float64,0.0
prop_plaq_menor,float64,0.0
indice_sintomas,float64,0.0
indice_comorbidades,float64,0.0
indice_alarme,float64,0.0
indice_gravidade,float64,0.0
indice_hemorragico,float64,0.0
indice_carga_clinica,float64,0.0
indice_desfecho_severo,float64,0.0
indice_confirmacao,float64,0.0
week_of_year_sin,float64,0.0
week_of_year_cos,float64,0.0
is_zero_notification_week,int64,0.0
notificacoes_lag_1,float64,0.0
notificacoes_lag_2,float64,0.0
notificacoes_lag_3,float64,0.0
notificacoes_lag_4,float64,0.0
notificacoes_lag_8,float64,0.0
notificacoes_lag_12,float64,0.0
notificacoes_media_movel_3,float64,0.0
notificacoes_min_movel_3,float64,0.0
notificacoes_max_movel_3,float64,0.0
notificacoes_media_movel_4,float64,0.0
notificacoes_min_movel_4,float64,0.0
notificacoes_max_movel_4,float64,0.0
notificacoes_media_movel_8,float64,0.0
notificacoes_min_movel_8,float64,0.0
notificacoes_max_movel_8,float64,0.0
notificacoes_media_movel_12,float64,0.0
notificacoes_min_movel_12,float64,0.0
notificacoes_max_movel_12,float64,0.0
notificacoes_diff_1,float64,0.0
notificacoes_diff_4,float64,0.0
notificacoes_pct_change_1,float64,0.0
notificacoes_pct_change_4,float64,0.0
notificacoes_aceleracao_1,float64,0.0
notificacoes_razao_media_4,float64,0.0
notificacoes_razao_media_8,float64,0.0
label_alerta_q75,int64,0.0
label_alerta_q90,int64,0.0
label_crescimento_acelerado,int64,0.0
label_surto_local,int64,0.0
label_semana_critica,int64,0.0
year,int32,0.0
rain_sum_mm,float64,48.76
rain_mean_mm,float64,55.52
temp_mean_c,float64,53.18
temp_min_c,float64,53.19
temp_max_c,float64,53.69
humidity_mean_pct,float64,53.72
pressure_mean_mbar,float64,53.19
wind_speed_mean_ms,float64,54.44
radiation_mean_kj,float64,53.6
rain_days,float64,48.76
rain_heavy_days,float64,48.76
temp_range_c,float64,53.72
rain_sum_mm_lag_1,float64,48.83
rain_sum_mm_lag_2,float64,48.91
rain_sum_mm_lag_4,float64,49.05
rain_sum_mm_lag_8,float64,49.33
temp_mean_c_lag_1,float64,53.23
temp_mean_c_lag_2,float64,53.29
temp_mean_c_lag_4,float64,53.39
temp_mean_c_lag_8,float64,53.57
humidity_mean_pct_lag_1,float64,53.77
humidity_mean_pct_lag_2,float64,53.82
humidity_mean_pct_lag_4,float64,53.92
humidity_mean_pct_lag_8,float64,54.09
rain_sum_mm_mm4,float64,48.83
temp_mean_c_mm4,float64,52.92
humidity_mean_pct_mm4,float64,53.43
rain_heavy_days_lag2,float64,48.91
rain_heavy_days_lag4,float64,49.05
temp_range_c_lag2,float64,53.82
notificacoes_t4,float64,0.0
risco_surto_t4,int64,0.0
ibge_municipio,object,0.0
