ibge_municipio,p50,p75,p90,threshold_source,escopo
3100104,0.0,1.0,2.0,municipio,municipio
3100203,1.0,2.0,9.0,municipio,municipio
3100302,0.0,0.0,1.0,municipio,municipio
3100401,0.0,1.0,2.0,municipio,municipio
3100500,0.0,1.0,2.0,municipio,municipio
3100609,0.0,0.0,3.0,municipio,municipio
3100708,0.0,1.0,2.0,municipio,municipio
3100807,0.0,0.0,1.0,municipio,municipio
3100906,1.0,3.0,10.400000000000006,municipio,municipio
3101003,0.0,0.0,1.0,municipio,municipio
3101508,1.0,2.0,6.400000000000006,municipio,municipio
3101607,6.0,20.0,67.20000000000005,municipio,municipio
3101631,0.0,0.0,0.0,municipio,municipio
3101706,1.0,4.0,9.400000000000006,municipio,municipio
3101805,0.0,1.0,1.0,municipio,municipio
3101904,0.0,1.0,2.0,municipio,municipio
3102001,0.0,0.0,1.0,municipio,municipio
3102050,0.0,0.0,0.0,municipio,municipio
3102100,0.0,0.0,0.0,municipio,municipio
3102209,0.0,1.0,5.400000000000006,municipio,municipio
3102308,0.0,1.0,5.0,municipio,municipio
3102407,0.0,0.0,0.0,municipio,municipio
3102506,0.0,0.0,0.0,municipio,municipio
3102704,0.0,0.0,1.0,municipio,municipio
3102803,0.0,0.0,0.0,municipio,municipio
3102852,0.0,0.0,0.4000000000000057,municipio,municipio
3102902,0.0,0.0,0.0,municipio,municipio
3103009,0.0,1.0,2.0,municipio,municipio
3103108,0.0,0.0,0.0,municipio,municipio
3103207,0.0,0.0,1.0,municipio,municipio
3103306,0.0,0.0,0.0,municipio,municipio
3103405,2.0,6.0,22.400000000000006,municipio,municipio
3103504,5.0,11.0,107.80000000000018,municipio,municipio
3103603,0.0,0.0,0.0,municipio,municipio
3103702,0.0,0.0,0.0,municipio,municipio
3103751,1.0,3.0,5.0,municipio,municipio
3103801,0.0,0.0,1.0,municipio,municipio
3103900,1.0,2.0,5.0,municipio,municipio
3104007,14.0,22.0,51.80000000000007,municipio,municipio
3104205,1.0,6.0,104.80000000000004,municipio,municipio
3104304,0.0,0.0,2.8000000000000114,municipio,municipio
3104403,0.0,0.0,0.4000000000000057,municipio,municipio
3104452,0.0,0.0,0.0,municipio,municipio
3104601,1.0,5.0,11.0,municipio,municipio
3104700,0.0,0.0,1.0,municipio,municipio
3104809,0.0,1.0,3.0,municipio,municipio
3104908,0.0,0.0,5.0,municipio,municipio
3105004,0.0,0.0,2.4000000000000057,municipio,municipio
3105103,0.0,1.0,7.0,municipio,municipio
3105202,0.0,0.0,1.4000000000000057,municipio,municipio
3105509,0.0,0.0,0.0,municipio,municipio
3105608,0.0,1.0,3.0,municipio,municipio
3105707,0.0,0.0,0.0,municipio,municipio
3105905,0.0,2.0,3.0,municipio,municipio
3106002,0.0,1.0,3.4000000000000057,municipio,municipio
3106101,0.0,0.0,0.0,municipio,municipio
3106309,2.0,4.0,10.400000000000006,municipio,municipio
3106408,0.0,1.0,2.0,municipio,municipio
3106507,0.0,2.0,7.0,municipio,municipio
3106606,0.0,0.0,0.0,municipio,municipio
3106655,0.0,0.0,0.0,municipio,municipio
3106705,27.0,44.0,1117.8000000000018,municipio,municipio
3106804,0.0,0.0,0.0,municipio,municipio
3106903,0.0,0.0,1.0,municipio,municipio
3107000,0.0,0.0,0.0,municipio,municipio
3107208,0.0,0.0,0.0,municipio,municipio
3107307,3.0,8.0,28.00000000000003,municipio,municipio
3107406,6.0,11.0,28.0,municipio,municipio
3107505,0.0,0.0,0.0,municipio,municipio
3107604,0.0,0.0,1.0,municipio,municipio
