feature_base,lag,col_name,type,spearman_r,p_value,n_valid
rain_sum_mm,1,rain_sum_mm_lag_1w,lag,0.044726,0.0,1107006
rain_sum_mm,2,rain_sum_mm_lag_2w,lag,0.053152,0.0,1102790
rain_sum_mm,3,rain_sum_mm_lag_3w,lag,0.064495,0.0,1098574
rain_sum_mm,4,rain_sum_mm_lag_4w,lag,0.073211,0.0,1094358
rain_sum_mm,5,rain_sum_mm_lag_5w,lag,0.08192,0.0,1090142
rain_sum_mm,6,rain_sum_mm_lag_6w,lag,0.088713,0.0,1085926
rain_sum_mm,7,rain_sum_mm_lag_7w,lag,0.097222,0.0,1081711
rain_sum_mm,8,rain_sum_mm_lag_8w,lag,0.101195,0.0,1077505
rain_sum_mm,mm_2_4w,rain_sum_mm_mm_2_4w,moving_avg,0.073981,0.0,1107158
rain_sum_mm,mm_4_8w,rain_sum_mm_mm_4_8w,moving_avg,0.109523,0.0,1098968
rain_mean_mm,1,rain_mean_mm_lag_1w,lag,0.024385,2.0987274415211732e-110,837949
rain_mean_mm,2,rain_mean_mm_lag_2w,lag,0.037989,2.41233513866579e-264,835359
rain_mean_mm,3,rain_mean_mm_lag_3w,lag,0.055324,0.0,832778
rain_mean_mm,4,rain_mean_mm_lag_4w,lag,0.068636,0.0,830190
rain_mean_mm,5,rain_mean_mm_lag_5w,lag,0.081355,0.0,827620
rain_mean_mm,6,rain_mean_mm_lag_6w,lag,0.092074,0.0,825068
rain_mean_mm,7,rain_mean_mm_lag_7w,lag,0.104585,0.0,822527
rain_mean_mm,8,rain_mean_mm_lag_8w,lag,0.110821,0.0,819993
rain_mean_mm,mm_2_4w,rain_mean_mm_mm_2_4w,moving_avg,0.065029,0.0,860248
rain_mean_mm,mm_4_8w,rain_mean_mm_mm_4_8w,moving_avg,0.117882,0.0,873334
rain_days,1,rain_days_lag_1w,lag,0.046245,0.0,1107006
rain_days,2,rain_days_lag_2w,lag,0.054085,0.0,1102790
rain_days,3,rain_days_lag_3w,lag,0.06319,0.0,1098574
rain_days,4,rain_days_lag_4w,lag,0.070009,0.0,1094358
rain_days,5,rain_days_lag_5w,lag,0.077286,0.0,1090142
rain_days,6,rain_days_lag_6w,lag,0.081926,0.0,1085926
rain_days,7,rain_days_lag_7w,lag,0.089398,0.0,1081711
rain_days,8,rain_days_lag_8w,lag,0.091098,0.0,1077505
rain_days,mm_2_4w,rain_days_mm_2_4w,moving_avg,0.071412,0.0,1107158
rain_days,mm_4_8w,rain_days_mm_4_8w,moving_avg,0.097438,0.0,1098968
rain_heavy_days,1,rain_heavy_days_lag_1w,lag,0.03577,3.63426909756874e-310,1107006
rain_heavy_days,2,rain_heavy_days_lag_2w,lag,0.044145,0.0,1102790
rain_heavy_days,3,rain_heavy_days_lag_3w,lag,0.056109,0.0,1098574
rain_heavy_days,4,rain_heavy_days_lag_4w,lag,0.065055,0.0,1094358
rain_heavy_days,5,rain_heavy_days_lag_5w,lag,0.072365,0.0,1090142
rain_heavy_days,6,rain_heavy_days_lag_6w,lag,0.079951,0.0,1085926
rain_heavy_days,7,rain_heavy_days_lag_7w,lag,0.089039,0.0,1081711
rain_heavy_days,8,rain_heavy_days_lag_8w,lag,0.093013,0.0,1077505
rain_heavy_days,mm_2_4w,rain_heavy_days_mm_2_4w,moving_avg,0.071084,0.0,1107158
rain_heavy_days,mm_4_8w,rain_heavy_days_mm_4_8w,moving_avg,0.111557,0.0,1098968
temp_mean_c,1,temp_mean_c_lag_1w,lag,-0.003451,0.0009365777804160691,919500
temp_mean_c,2,temp_mean_c_lag_2w,lag,0.010291,6.702712404519378e-23,916565
temp_mean_c,3,temp_mean_c_lag_3w,lag,0.024894,3.4772136137971596e-125,913634
temp_mean_c,4,temp_mean_c_lag_4w,lag,0.039006,1.6922415798072458e-303,910665
temp_mean_c,5,temp_mean_c_lag_5w,lag,0.052746,0.0,907692
temp_mean_c,6,temp_mean_c_lag_6w,lag,0.067205,0.0,904742
temp_mean_c,7,temp_mean_c_lag_7w,lag,0.077641,0.0,901792
temp_mean_c,8,temp_mean_c_lag_8w,lag,0.090664,0.0,898851
temp_mean_c,mm_2_4w,temp_mean_c_mm_2_4w,moving_avg,0.023822,1.3028009323597029e-117,936383
temp_mean_c,mm_4_8w,temp_mean_c_mm_4_8w,moving_avg,0.064967,0.0,943252
temp_min_c,1,temp_min_c_lag_1w,lag,0.0165,2.3574897392291478e-56,918859
temp_min_c,2,temp_min_c_lag_2w,lag,0.033854,2.070769767565335e-230,915924
temp_min_c,3,temp_min_c_lag_3w,lag,0.050292,0.0,912993
temp_min_c,4,temp_min_c_lag_4w,lag,0.065359,0.0,910024
temp_min_c,5,temp_min_c_lag_5w,lag,0.080521,0.0,907051
temp_min_c,6,temp_min_c_lag_6w,lag,0.09472,0.0,904106
temp_min_c,7,temp_min_c_lag_7w,lag,0.106082,0.0,901161
temp_min_c,8,temp_min_c_lag_8w,lag,0.11733,0.0,898220
temp_min_c,mm_2_4w,temp_min_c_mm_2_4w,moving_avg,0.050564,0.0,935689
temp_min_c,mm_4_8w,temp_min_c_mm_4_8w,moving_avg,0.094965,0.0,942567
temp_max_c,1,temp_max_c_lag_1w,lag,0.05427,0.0,891480
temp_max_c,2,temp_max_c_lag_2w,lag,0.074384,0.0,888703
temp_max_c,3,temp_max_c_lag_3w,lag,0.094274,0.0,885930
temp_max_c,4,temp_max_c_lag_4w,lag,0.110428,0.0,883120
temp_max_c,5,temp_max_c_lag_5w,lag,0.125216,0.0,880297
temp_max_c,6,temp_max_c_lag_6w,lag,0.139507,0.0,877498
temp_max_c,7,temp_max_c_lag_7w,lag,0.151664,0.0,874700
temp_max_c,8,temp_max_c_lag_8w,lag,0.160408,0.0,871915
temp_max_c,mm_2_4w,temp_max_c_mm_2_4w,moving_avg,0.096182,0.0,909969
temp_max_c,mm_4_8w,temp_max_c_mm_4_8w,moving_avg,0.143208,0.0,918221
temp_range_c,1,temp_range_c_lag_1w,lag,-0.007657,4.975895388438451e-13,890663
temp_range_c,2,temp_range_c_lag_2w,lag,-0.01406,4.570471548879148e-40,887886
temp_range_c,3,temp_range_c_lag_3w,lag,-0.019011,1.4773828966595567e-71,885113
temp_range_c,4,temp_range_c_lag_4w,lag,-0.025591,1.0140000037763084e-127,882303
temp_range_c,5,temp_range_c_lag_5w,lag,-0.03361,3.483364796883641e-218,879480
temp_range_c,6,temp_range_c_lag_6w,lag,-0.040926,0.0,876686
temp_range_c,7,temp_range_c_lag_7w,lag,-0.046144,0.0,873893
temp_range_c,8,temp_range_c_lag_8w,lag,-0.053599,0.0,871108
temp_range_c,mm_2_4w,temp_range_c_mm_2_4w,moving_avg,-0.022836,3.935037736817101e-105,909072
temp_range_c,mm_4_8w,temp_range_c_mm_4_8w,moving_avg,-0.048508,0.0,917339
humidity_mean_pct,1,humidity_mean_pct_lag_1w,lag,0.077961,0.0,890698
humidity_mean_pct,2,humidity_mean_pct_lag_2w,lag,0.099346,0.0,887927
humidity_mean_pct,3,humidity_mean_pct_lag_3w,lag,0.119197,0.0,885160
humidity_mean_pct,4,humidity_mean_pct_lag_4w,lag,0.135614,0.0,882356
humidity_mean_pct,5,humidity_mean_pct_lag_5w,lag,0.150653,0.0,879539
humidity_mean_pct,6,humidity_mean_pct_lag_6w,lag,0.16506,0.0,876751
humidity_mean_pct,7,humidity_mean_pct_lag_7w,lag,0.17766,0.0,873964
humidity_mean_pct,8,humidity_mean_pct_lag_8w,lag,0.185034,0.0,871185
humidity_mean_pct,mm_2_4w,humidity_mean_pct_mm_2_4w,moving_avg,0.121872,0.0,909225
humidity_mean_pct,mm_4_8w,humidity_mean_pct_mm_4_8w,moving_avg,0.16945,0.0,917748
pressure_mean_mbar,1,pressure_mean_mbar_lag_1w,lag,-0.030172,1.9442551748632628e-185,926058
pressure_mean_mbar,2,pressure_mean_mbar_lag_2w,lag,-0.031468,6.792316584305497e-201,923078
pressure_mean_mbar,3,pressure_mean_mbar_lag_3w,lag,-0.033125,1.11573452042136e-221,920106
pressure_mean_mbar,4,pressure_mean_mbar_lag_4w,lag,-0.034381,6.91495393207064e-238,917110
pressure_mean_mbar,5,pressure_mean_mbar_lag_5w,lag,-0.035595,5.2557899190511256e-254,914104
pressure_mean_mbar,6,pressure_mean_mbar_lag_6w,lag,-0.036856,2.616667271499764e-271,911125
pressure_mean_mbar,7,pressure_mean_mbar_lag_7w,lag,-0.037639,5.901036444423106e-282,908142
pressure_mean_mbar,8,pressure_mean_mbar_lag_8w,lag,-0.038678,1.2025916726963071e-296,905168
pressure_mean_mbar,mm_2_4w,pressure_mean_mbar_mm_2_4w,moving_avg,-0.033901,7.626649506605932e-238,943091
pressure_mean_mbar,mm_4_8w,pressure_mean_mbar_mm_4_8w,moving_avg,-0.038298,3.4831280523843163e-305,950003
wind_speed_mean_ms,1,wind_speed_mean_ms_lag_1w,lag,-0.129176,0.0,877146
wind_speed_mean_ms,2,wind_speed_mean_ms_lag_2w,lag,-0.128973,0.0,874418
wind_speed_mean_ms,3,wind_speed_mean_ms_lag_3w,lag,-0.124679,0.0,871717
wind_speed_mean_ms,4,wind_speed_mean_ms_lag_4w,lag,-0.120267,0.0,868986
wind_speed_mean_ms,5,wind_speed_mean_ms_lag_5w,lag,-0.114202,0.0,866251
wind_speed_mean_ms,6,wind_speed_mean_ms_lag_6w,lag,-0.107926,0.0,863545
wind_speed_mean_ms,7,wind_speed_mean_ms_lag_7w,lag,-0.101442,0.0,860823
wind_speed_mean_ms,8,wind_speed_mean_ms_lag_8w,lag,-0.094347,0.0,858116
wind_speed_mean_ms,mm_2_4w,wind_speed_mean_ms_mm_2_4w,moving_avg,-0.131369,0.0,896506
wind_speed_mean_ms,mm_4_8w,wind_speed_mean_ms_mm_4_8w,moving_avg,-0.116379,0.0,906150
radiation_mean_kj,1,radiation_mean_kj_lag_1w,lag,-0.031177,6.154291047643766e-194,907536
radiation_mean_kj,2,radiation_mean_kj_lag_2w,lag,-0.023944,7.676132910772042e-115,904711
radiation_mean_kj,3,radiation_mean_kj_lag_3w,lag,-0.01602,2.8405617770645402e-52,901881
radiation_mean_kj,4,radiation_mean_kj_lag_4w,lag,-0.006889,6.501245638231228e-11,899017
radiation_mean_kj,5,radiation_mean_kj_lag_5w,lag,0.001751,0.0974184783360541,896141
radiation_mean_kj,6,radiation_mean_kj_lag_6w,lag,0.012052,4.64498726380246e-30,893291
radiation_mean_kj,7,radiation_mean_kj_lag_7w,lag,0.018385,1.9798475654673406e-67,890442
radiation_mean_kj,8,radiation_mean_kj_lag_8w,lag,0.027656,1.0297178026700828e-149,887602
