feature,lag,r,p_value,n,sig
rain_sum_mm,0,0.006989,1.7363238865262022e-13,1111222,***
rain_sum_mm,1,0.008905,7.312320247356114e-21,1107006,***
rain_sum_mm,2,0.010913,2.0907013413465525e-30,1102790,***
rain_sum_mm,4,0.015932,2.2428361724767484e-62,1094358,***
rain_sum_mm,8,0.023311,2.179181844915403e-129,1077505,***
rain_mean_mm,0,0.001998,0.06690997978974329,840617,
rain_mean_mm,1,0.004212,0.00011561408822105329,837949,***
rain_mean_mm,2,0.006515,2.6086231664149214e-09,835359,***
rain_mean_mm,4,0.012051,4.752359683657326e-28,830190,***
rain_mean_mm,8,0.020547,2.782043442638631e-77,819993,***
rain_days,0,0.008379,1.0222991707149842e-18,1111222,***
rain_days,1,0.010265,3.431455622352572e-27,1107006,***
rain_days,2,0.012284,4.480112374781335e-38,1102790,***
rain_days,4,0.017198,2.2437002987940223e-72,1094358,***
rain_days,8,0.02344,8.464110856466157e-131,1077505,***
rain_heavy_days,0,0.007105,6.915355183337101e-14,1111222,***
rain_heavy_days,1,0.009273,1.7237845282213404e-22,1107006,***
rain_heavy_days,2,0.011588,4.53398587188641e-34,1102790,***
rain_heavy_days,4,0.017073,2.3656479681184594e-71,1094358,***
rain_heavy_days,8,0.02467,1.12961210749401e-144,1077505,***
temp_mean_c,0,-0.006556,3.033185653550434e-10,922505,***
temp_mean_c,1,-0.002945,0.004748223458091563,919500,**
temp_mean_c,2,2.3e-05,0.9824562649717326,916565,
temp_mean_c,4,0.004046,0.00011290986390456078,910665,***
temp_mean_c,8,0.009386,5.651781936291956e-19,898851,***
temp_min_c,0,-0.001152,0.2687157624687584,921864,
temp_min_c,1,0.002585,0.013200599149186594,918859,*
temp_min_c,2,0.005743,3.882063380530049e-08,915924,***
temp_min_c,4,0.010106,5.361331617449635e-22,910024,***
temp_min_c,8,0.016004,5.7074770058004665e-52,898220,***
temp_max_c,0,0.000352,0.7388945053396775,894311,
temp_max_c,1,0.004386,3.45138196821808e-05,891480,***
temp_max_c,2,0.007833,1.5279020905935127e-13,888703,***
temp_max_c,4,0.01336,3.7092532818059346e-36,883120,***
temp_max_c,8,0.018591,1.6248836865274792e-67,871915,***
temp_range_c,0,0.001328,0.20947871904175203,893494,
temp_range_c,1,-4.9e-05,0.9630888619934328,890663,
temp_range_c,2,-0.001184,0.264444633694496,887886,
temp_range_c,4,-0.00208,0.050745128594481326,882303,
temp_range_c,8,-0.005304,7.416522570734058e-07,871108,***
humidity_mean_pct,0,0.003952,0.00018737372410267253,893523,***
humidity_mean_pct,1,0.008124,1.754050266275724e-14,890698,***
humidity_mean_pct,2,0.011653,4.7068198505906535e-28,887927,***
humidity_mean_pct,4,0.017219,7.534736092244583e-59,882356,***
humidity_mean_pct,8,0.022797,1.6988795341731827e-100,871185,***
pressure_mean_mbar,0,-0.018469,6.583359700776643e-71,929114,***
pressure_mean_mbar,1,-0.018788,4.412736959856412e-73,926058,***
pressure_mean_mbar,2,-0.019005,1.689985228535949e-74,923078,***
pressure_mean_mbar,4,-0.019401,4.554919175159119e-77,917110,***
pressure_mean_mbar,8,-0.019987,1.2095226012406546e-80,905168,***
wind_speed_mean_ms,0,-0.016425,1.4299222415931468e-53,879965,***
wind_speed_mean_ms,1,-0.015876,5.206590333577707e-50,877146,***
wind_speed_mean_ms,2,-0.015347,1.0305309459682419e-46,874418,***
wind_speed_mean_ms,4,-0.013574,1.0627865779868605e-36,868986,***
wind_speed_mean_ms,8,-0.008571,2.0173503002209444e-15,858116,***
radiation_mean_kj,0,-0.00607,6.959176101241807e-09,910438,***
radiation_mean_kj,1,-0.004003,0.00013681444559298067,907536,***
radiation_mean_kj,2,-0.001907,0.06964558874008406,904711,
radiation_mean_kj,4,0.001109,0.2929698871725632,899017,
radiation_mean_kj,8,0.005237,8.046284685271081e-07,887602,***
