feature,regiao,lag,r,p_value,abs_r,n
rain_sum_mm,Norte,8,0.104464,5.514337651584241e-150,0.10446350130493597,62010
rain_sum_mm,Nordeste,8,0.116172,0.0,0.11617170857190084,343303
rain_sum_mm,Centro-Oeste,8,0.197718,0.0,0.19771843013119184,75685
rain_sum_mm,Sudeste,8,0.109986,0.0,0.10998590576840322,368135
rain_sum_mm,Sul,8,-0.011487,4.0326089769088054e-08,0.011486637181637572,228372
rain_mean_mm,Norte,8,0.173592,1.1014451608049082e-278,0.1735918112256005,41589
rain_mean_mm,Nordeste,8,0.150357,0.0,0.1503568366889897,218120
rain_mean_mm,Centro-Oeste,8,0.226221,0.0,0.22622058678703535,56213
rain_mean_mm,Sudeste,8,0.156062,0.0,0.15606188659028056,320526
rain_mean_mm,Sul,8,0.003934,0.09187669097687731,0.003934408156293649,183545
rain_days,Norte,8,0.099173,2.6455209438092962e-135,0.09917291751875001,62010
rain_days,Nordeste,8,0.115584,0.0,0.1155842785761271,343303
rain_days,Centro-Oeste,8,0.202387,0.0,0.20238736484897327,75685
rain_days,Sudeste,8,0.087281,0.0,0.08728070180497013,368135
rain_days,Sul,8,-0.02575,8.278103678474394e-35,0.02574960048702819,228372
rain_heavy_days,Norte,8,0.109927,5.806497692131887e-166,0.10992711511380457,62010
rain_heavy_days,Nordeste,8,0.101519,0.0,0.1015185498489526,343303
rain_heavy_days,Centro-Oeste,8,0.167065,0.0,0.16706507991690042,75685
rain_heavy_days,Sudeste,8,0.106846,0.0,0.10684632571887709,368135
rain_heavy_days,Sul,8,-0.004648,0.026338791904017646,0.004647959139378045,228372
temp_mean_c,Norte,8,-0.092695,2.5817996920487017e-86,0.09269539645134009,44933
temp_mean_c,Nordeste,8,-0.067219,9.476205243868372e-255,0.06721866006011934,256663
temp_mean_c,Centro-Oeste,8,-0.0227,8.41441199480882e-09,0.02269979271850964,64372
temp_mean_c,Sudeste,8,0.233906,0.0,0.23390639624588253,343989
temp_mean_c,Sul,8,0.330313,0.0,0.330313236140065,188894
temp_min_c,Norte,8,0.071194,1.432439929210228e-51,0.07119352024162834,44922
temp_min_c,Nordeste,8,0.027636,1.734088522024672e-44,0.027635987375400742,256256
temp_min_c,Centro-Oeste,8,0.109032,2.765245646826608e-169,0.10903212520335237,64316
temp_min_c,Sudeste,8,0.290731,0.0,0.29073052484195394,343836
temp_min_c,Sul,8,0.336002,0.0,0.33600178464696234,188890
temp_max_c,Norte,8,0.123817,3.535352851364101e-146,0.12381693091244267,42909
temp_max_c,Nordeste,8,0.149214,0.0,0.14921419641296424,241081
temp_max_c,Centro-Oeste,8,0.184271,0.0,0.18427114398819938,63575
temp_max_c,Sudeste,8,0.287263,0.0,0.28726327513734495,339412
temp_max_c,Sul,8,0.288804,0.0,0.288803845708144,184938
temp_range_c,Norte,8,0.051321,2.54559100097695e-26,0.051321456210562076,42724
temp_range_c,Nordeste,8,0.103212,0.0,0.10321161625365621,240699
temp_range_c,Centro-Oeste,8,0.049539,8.078040177467569e-36,0.04953945061642512,63528
temp_range_c,Sudeste,8,-0.097272,0.0,0.09727225500017897,339283
temp_range_c,Sul,8,-0.224936,0.0,0.22493552056487276,184874
humidity_mean_pct,Norte,8,0.147044,2.4265993467991447e-205,0.14704413111234124,42776
humidity_mean_pct,Nordeste,8,0.172406,0.0,0.17240556018094452,240616
humidity_mean_pct,Centro-Oeste,8,0.22303,0.0,0.22302982775021205,63549
humidity_mean_pct,Sudeste,8,0.301868,0.0,0.3018677107041714,339485
humidity_mean_pct,Sul,8,0.316229,0.0,0.31622861618654635,184759
pressure_mean_mbar,Norte,8,0.004562,0.32731940038324403,0.004562313396056593,46098
pressure_mean_mbar,Nordeste,8,0.056491,2.2291892166360848e-181,0.05649062044870672,258040
pressure_mean_mbar,Centro-Oeste,8,-0.128746,5.2405579251138294e-238,0.12874584900409217,64933
pressure_mean_mbar,Sudeste,8,0.048965,1.209125052722614e-181,0.04896468589246465,344103
pressure_mean_mbar,Sul,8,0.128858,0.0,0.12885801788514573,191994
wind_speed_mean_ms,Norte,0,-0.056507,8.214794545952222e-33,0.056506982473758,44508
wind_speed_mean_ms,Nordeste,0,-0.05608,5.650578111319061e-171,0.056080004499636495,246647
wind_speed_mean_ms,Centro-Oeste,0,-0.053693,3.422166635984731e-43,0.053693288549904905,65761
wind_speed_mean_ms,Sudeste,0,-0.071507,0.0,0.07150728795346714,335390
wind_speed_mean_ms,Sul,0,-0.074718,1.81781439061894e-230,0.074718110218297,187659
radiation_mean_kj,Norte,0,-0.121325,1.600472869538684e-151,0.12132453700297953,46361
radiation_mean_kj,Nordeste,0,-0.078147,0.0,0.07814670676995111,254048
radiation_mean_kj,Centro-Oeste,0,-0.043879,6.776130515588254e-30,0.04387902363901198,66939
radiation_mean_kj,Sudeste,0,-0.041504,1.0074625028562338e-132,0.04150405553442228,348604
radiation_mean_kj,Sul,0,-0.020036,9.85403781905486e-19,0.02003584941974524,194486
