feature,lag,r,p_value,n,sig
rain_sum_mm,0,0.035123,3.0514762681015314e-300,1111222,***
rain_sum_mm,1,0.044726,0.0,1107006,***
rain_sum_mm,2,0.053152,0.0,1102790,***
rain_sum_mm,4,0.073211,0.0,1094358,***
rain_sum_mm,8,0.101195,0.0,1077505,***
rain_mean_mm,0,0.009046,1.0935099034884407e-16,840617,***
rain_mean_mm,1,0.024385,2.0987274415211732e-110,837949,***
rain_mean_mm,2,0.037989,2.41233513866579e-264,835359,***
rain_mean_mm,4,0.068636,0.0,830190,***
rain_mean_mm,8,0.110821,0.0,819993,***
rain_days,0,0.038772,0.0,1111222,***
rain_days,1,0.046245,0.0,1107006,***
rain_days,2,0.054085,0.0,1102790,***
rain_days,4,0.070009,0.0,1094358,***
rain_days,8,0.091098,0.0,1077505,***
rain_heavy_days,0,0.02527,2.1932422768681108e-156,1111222,***
rain_heavy_days,1,0.03577,3.63426909756874e-310,1107006,***
rain_heavy_days,2,0.044145,0.0,1102790,***
rain_heavy_days,4,0.065055,0.0,1094358,***
rain_heavy_days,8,0.093013,0.0,1077505,***
temp_mean_c,0,-0.019025,1.3078747008271927e-74,922505,***
temp_mean_c,1,-0.003451,0.0009365777804160691,919500,***
temp_mean_c,2,0.010291,6.702712404519378e-23,916565,***
temp_mean_c,4,0.039006,1.6922415798072458e-303,910665,***
temp_mean_c,8,0.090664,0.0,898851,***
temp_min_c,0,-0.002599,0.012573224322183385,921864,*
temp_min_c,1,0.0165,2.3574897392291478e-56,918859,***
temp_min_c,2,0.033854,2.070769767565335e-230,915924,***
temp_min_c,4,0.065359,0.0,910024,***
temp_min_c,8,0.11733,0.0,898220,***
temp_max_c,0,0.033071,7.818015162747215e-215,894311,***
temp_max_c,1,0.05427,0.0,891480,***
temp_max_c,2,0.074384,0.0,888703,***
temp_max_c,4,0.110428,0.0,883120,***
temp_max_c,8,0.160408,0.0,871915,***
temp_range_c,0,0.000921,0.3841476953458063,893494,
temp_range_c,1,-0.007657,4.975895388438451e-13,890663,***
temp_range_c,2,-0.01406,4.570471548879148e-40,887886,***
temp_range_c,4,-0.025591,1.0140000037763084e-127,882303,***
temp_range_c,8,-0.053599,0.0,871108,***
humidity_mean_pct,0,0.054866,0.0,893523,***
humidity_mean_pct,1,0.077961,0.0,890698,***
humidity_mean_pct,2,0.099346,0.0,887927,***
humidity_mean_pct,4,0.135614,0.0,882356,***
humidity_mean_pct,8,0.185034,0.0,871185,***
pressure_mean_mbar,0,-0.028362,1.2803244412808087e-164,929114,***
pressure_mean_mbar,1,-0.030172,1.9442551748632628e-185,926058,***
pressure_mean_mbar,2,-0.031468,6.792316584305497e-201,923078,***
pressure_mean_mbar,4,-0.034381,6.91495393207064e-238,917110,***
pressure_mean_mbar,8,-0.038678,1.2025916726963071e-296,905168,***
wind_speed_mean_ms,0,-0.130019,0.0,879965,***
wind_speed_mean_ms,1,-0.129176,0.0,877146,***
wind_speed_mean_ms,2,-0.128973,0.0,874418,***
wind_speed_mean_ms,4,-0.120267,0.0,868986,***
wind_speed_mean_ms,8,-0.094347,0.0,858116,***
radiation_mean_kj,0,-0.037944,3.1854468451031085e-287,910438,***
radiation_mean_kj,1,-0.031177,6.154291047643766e-194,907536,***
radiation_mean_kj,2,-0.023944,7.676132910772042e-115,904711,***
radiation_mean_kj,4,-0.006889,6.501245638231228e-11,899017,***
radiation_mean_kj,8,0.027656,1.0297178026700828e-149,887602,***
