feature,dtype,pct_missing,is_climate,category
qt_hospitalizados,float64,0.0,False,sinan
qt_obitos_agravo,float64,0.0,False,sinan
qt_obitos_outras_causas,float64,0.0,False,sinan
qt_confirmados_provaveis,float64,0.0,False,sinan
qt_descartados,float64,0.0,False,sinan
qt_inconclusivos,float64,0.0,False,sinan
qt_dengue_alarme,float64,0.0,False,sinan
qt_dengue_grave,float64,0.0,False,sinan
qt_chikungunya,float64,0.0,False,sinan
idade_media_anos,float64,0.0,False,sinan
atraso_notificacao_medio_dias,float64,0.0,False,sinan
prop_sexo_masc,float64,0.0,False,sinan
prop_sexo_fem,float64,0.0,False,sinan
prop_gestante,float64,0.0,False,sinan
prop_hospitalizado,float64,0.0,False,sinan
prop_obito_agravo,float64,0.0,False,sinan
prop_obito_outras_causas,float64,0.0,False,sinan
prop_criterio_lab,float64,0.0,False,sinan
prop_criterio_clinico_epi,float64,0.0,False,sinan
prop_criterio_clinico,float64,0.0,False,sinan
prop_confirmado_provavel,float64,0.0,False,sinan
prop_descartado,float64,0.0,False,sinan
prop_inconclusivo,float64,0.0,False,sinan
prop_dengue_alarme,float64,0.0,False,sinan
prop_dengue_grave,float64,0.0,False,sinan
prop_chikungunya,float64,0.0,False,sinan
prop_raca_branca,float64,0.0,False,sinan
prop_raca_preta,float64,0.0,False,sinan
prop_raca_amarela,float64,0.0,False,sinan
prop_raca_parda,float64,0.0,False,sinan
prop_raca_indigena,float64,0.0,False,sinan
prop_febre,float64,0.0,False,sinan
prop_mialgia,float64,0.0,False,sinan
prop_cefaleia,float64,0.0,False,sinan
prop_exantema,float64,0.0,False,sinan
prop_vomito,float64,0.0,False,sinan
prop_nausea,float64,0.0,False,sinan
prop_dor_costas,float64,0.0,False,sinan
prop_conjuntvit,float64,0.0,False,sinan
prop_artrite,float64,0.0,False,sinan
prop_artralgia,float64,0.0,False,sinan
prop_petequia_n,float64,0.0,False,sinan
prop_leucopenia,float64,0.0,False,sinan
prop_laco,float64,0.0,False,sinan
prop_dor_retro,float64,0.0,False,sinan
prop_diabetes,float64,0.0,False,sinan
prop_hematolog,float64,0.0,False,sinan
prop_hepatopat,float64,0.0,False,sinan
prop_renal,float64,0.0,False,sinan
prop_hipertensa,float64,0.0,False,sinan
prop_acido_pept,float64,0.0,False,sinan
prop_auto_imune,float64,0.0,False,sinan
prop_alrm_hipot,float64,0.0,False,sinan
prop_alrm_plaq,float64,0.0,False,sinan
prop_alrm_vom,float64,0.0,False,sinan
prop_alrm_sang,float64,0.0,False,sinan
prop_alrm_hemat,float64,0.0,False,sinan
prop_alrm_abdom,float64,0.0,False,sinan
prop_alrm_letar,float64,0.0,False,sinan
prop_alrm_hepat,float64,0.0,False,sinan
prop_alrm_liq,float64,0.0,False,sinan
prop_grav_pulso,float64,0.0,False,sinan
prop_grav_conv,float64,0.0,False,sinan
prop_grav_ench,float64,0.0,False,sinan
prop_grav_insuf,float64,0.0,False,sinan
prop_grav_taqui,float64,0.0,False,sinan
prop_grav_extre,float64,0.0,False,sinan
prop_grav_hipot,float64,0.0,False,sinan
prop_grav_hemat,float64,0.0,False,sinan
prop_grav_melen,float64,0.0,False,sinan
prop_grav_metro,float64,0.0,False,sinan
prop_grav_sang,float64,0.0,False,sinan
prop_grav_ast,float64,0.0,False,sinan
prop_grav_mioc,float64,0.0,False,sinan
prop_grav_consc,float64,0.0,False,sinan
prop_grav_orgao,float64,0.0,False,sinan
prop_mani_hemor,float64,0.0,False,sinan
prop_epistaxe,float64,0.0,False,sinan
prop_gengivo,float64,0.0,False,sinan
prop_metro,float64,0.0,False,sinan
prop_petequias,float64,0.0,False,sinan
prop_hematura,float64,0.0,False,sinan
prop_sangram,float64,0.0,False,sinan
prop_laco_n,float64,0.0,False,sinan
prop_plasmatico,float64,0.0,False,sinan
prop_evidencia,float64,0.0,False,sinan
prop_plaq_menor,float64,0.0,False,sinan
indice_sintomas,float64,0.0,False,sinan
indice_comorbidades,float64,0.0,False,sinan
indice_alarme,float64,0.0,False,sinan
indice_gravidade,float64,0.0,False,sinan
indice_hemorragico,float64,0.0,False,sinan
indice_carga_clinica,float64,0.0,False,sinan
indice_desfecho_severo,float64,0.0,False,sinan
indice_confirmacao,float64,0.0,False,sinan
week_of_year_sin,float64,0.0,False,sinan
week_of_year_cos,float64,0.0,False,sinan
is_zero_notification_week,int64,0.0,False,sinan
notificacoes_lag_1,float64,0.0,False,sinan
notificacoes_lag_2,float64,0.0,False,sinan
notificacoes_lag_3,float64,0.0,False,sinan
notificacoes_lag_4,float64,0.0,False,sinan
notificacoes_lag_8,float64,0.0,False,sinan
notificacoes_lag_12,float64,0.0,False,sinan
notificacoes_media_movel_3,float64,0.0,False,sinan
notificacoes_min_movel_3,float64,0.0,False,sinan
notificacoes_max_movel_3,float64,0.0,False,sinan
notificacoes_media_movel_4,float64,0.0,False,sinan
notificacoes_min_movel_4,float64,0.0,False,sinan
notificacoes_max_movel_4,float64,0.0,False,sinan
notificacoes_media_movel_8,float64,0.0,False,sinan
notificacoes_min_movel_8,float64,0.0,False,sinan
notificacoes_max_movel_8,float64,0.0,False,sinan
notificacoes_media_movel_12,float64,0.0,False,sinan
notificacoes_min_movel_12,float64,0.0,False,sinan
notificacoes_max_movel_12,float64,0.0,False,sinan
notificacoes_diff_1,float64,0.0,False,sinan
notificacoes_diff_4,float64,0.0,False,sinan
notificacoes_pct_change_1,float64,0.0,False,sinan
notificacoes_pct_change_4,float64,0.0,False,sinan
notificacoes_aceleracao_1,float64,0.0,False,sinan
notificacoes_razao_media_4,float64,0.0,False,sinan
notificacoes_razao_media_8,float64,0.0,False,sinan
label_alerta_q75,int64,0.0,False,sinan
label_alerta_q90,int64,0.0,False,sinan
label_crescimento_acelerado,int64,0.0,False,sinan
label_surto_local,int64,0.0,False,sinan
label_semana_critica,int64,0.0,False,sinan
year,int32,0.0,False,sinan
rain_sum_mm,float64,9.3,True,inmet_bruto
rain_mean_mm,float64,31.19,True,inmet_bruto
temp_mean_c,float64,24.52,True,inmet_bruto
temp_min_c,float64,24.58,True,inmet_bruto
temp_max_c,float64,26.81,True,inmet_bruto
humidity_mean_pct,float64,26.87,True,inmet_bruto
pressure_mean_mbar,float64,23.99,True,inmet_bruto
wind_speed_mean_ms,float64,27.98,True,inmet_bruto
radiation_mean_kj,float64,25.49,True,inmet_bruto
rain_days,float64,9.3,True,inmet_bruto
rain_heavy_days,float64,9.3,True,inmet_bruto
temp_range_c,float64,26.87,True,inmet_bruto
rain_sum_mm_lag_1,float64,9.33,True,inmet_bruto
rain_sum_mm_lag_2,float64,9.36,True,inmet_bruto
rain_sum_mm_lag_4,float64,9.42,True,inmet_bruto
rain_sum_mm_lag_8,float64,9.52,True,inmet_bruto
temp_mean_c_lag_1,float64,24.5,True,inmet_bruto
temp_mean_c_lag_2,float64,24.44,True,inmet_bruto
temp_mean_c_lag_4,float64,24.29,True,inmet_bruto
temp_mean_c_lag_8,float64,23.98,True,inmet_bruto
humidity_mean_pct_lag_1,float64,26.84,True,inmet_bruto
humidity_mean_pct_lag_2,float64,26.77,True,inmet_bruto
humidity_mean_pct_lag_4,float64,26.61,True,inmet_bruto
humidity_mean_pct_lag_8,float64,26.25,True,inmet_bruto
rain_sum_mm_mm4,float64,9.33,True,inmet_bruto
temp_mean_c_mm4,float64,23.8,True,inmet_bruto
humidity_mean_pct_mm4,float64,26.08,True,inmet_bruto
rain_heavy_days_lag2,float64,9.36,True,inmet_bruto
rain_heavy_days_lag4,float64,9.42,True,inmet_bruto
temp_range_c_lag2,float64,26.78,True,inmet_bruto
rain_sum_mm_lag_1w,float64,9.65,True,inmet_lag_bio
rain_sum_mm_lag_2w,float64,10.0,True,inmet_lag_bio
rain_sum_mm_lag_3w,float64,10.35,True,inmet_lag_bio
rain_sum_mm_lag_4w,float64,10.7,True,inmet_lag_bio
rain_sum_mm_lag_5w,float64,11.04,True,inmet_lag_bio
rain_sum_mm_lag_6w,float64,11.39,True,inmet_lag_bio
rain_sum_mm_lag_7w,float64,11.73,True,inmet_lag_bio
rain_sum_mm_lag_8w,float64,12.08,True,inmet_lag_bio
rain_mean_mm_lag_1w,float64,31.41,True,inmet_lag_bio
rain_mean_mm_lag_2w,float64,31.62,True,inmet_lag_bio
rain_mean_mm_lag_3w,float64,31.83,True,inmet_lag_bio
rain_mean_mm_lag_4w,float64,32.04,True,inmet_lag_bio
rain_mean_mm_lag_5w,float64,32.25,True,inmet_lag_bio
rain_mean_mm_lag_6w,float64,32.46,True,inmet_lag_bio
rain_mean_mm_lag_7w,float64,32.67,True,inmet_lag_bio
rain_mean_mm_lag_8w,float64,32.87,True,inmet_lag_bio
rain_days_lag_1w,float64,9.65,True,inmet_lag_bio
rain_days_lag_2w,float64,10.0,True,inmet_lag_bio
rain_days_lag_3w,float64,10.35,True,inmet_lag_bio
rain_days_lag_4w,float64,10.7,True,inmet_lag_bio
rain_days_lag_5w,float64,11.04,True,inmet_lag_bio
rain_days_lag_6w,float64,11.39,True,inmet_lag_bio
rain_days_lag_7w,float64,11.73,True,inmet_lag_bio
rain_days_lag_8w,float64,12.08,True,inmet_lag_bio
rain_heavy_days_lag_1w,float64,9.65,True,inmet_lag_bio
rain_heavy_days_lag_2w,float64,10.0,True,inmet_lag_bio
rain_heavy_days_lag_3w,float64,10.35,True,inmet_lag_bio
rain_heavy_days_lag_4w,float64,10.7,True,inmet_lag_bio
rain_heavy_days_lag_5w,float64,11.04,True,inmet_lag_bio
rain_heavy_days_lag_6w,float64,11.39,True,inmet_lag_bio
rain_heavy_days_lag_7w,float64,11.73,True,inmet_lag_bio
rain_heavy_days_lag_8w,float64,12.08,True,inmet_lag_bio
temp_mean_c_lag_1w,float64,24.77,True,inmet_lag_bio
temp_mean_c_lag_2w,float64,25.02,True,inmet_lag_bio
temp_mean_c_lag_3w,float64,25.26,True,inmet_lag_bio
temp_mean_c_lag_4w,float64,25.5,True,inmet_lag_bio
temp_mean_c_lag_5w,float64,25.74,True,inmet_lag_bio
temp_mean_c_lag_6w,float64,25.98,True,inmet_lag_bio
temp_mean_c_lag_7w,float64,26.22,True,inmet_lag_bio
temp_mean_c_lag_8w,float64,26.45,True,inmet_lag_bio
temp_min_c_lag_1w,float64,24.82,True,inmet_lag_bio
temp_min_c_lag_2w,float64,25.07,True,inmet_lag_bio
temp_min_c_lag_3w,float64,25.31,True,inmet_lag_bio
temp_min_c_lag_4w,float64,25.56,True,inmet_lag_bio
temp_min_c_lag_5w,float64,25.79,True,inmet_lag_bio
temp_min_c_lag_6w,float64,26.03,True,inmet_lag_bio
temp_min_c_lag_7w,float64,26.27,True,inmet_lag_bio
temp_min_c_lag_8w,float64,26.5,True,inmet_lag_bio
temp_max_c_lag_1w,float64,27.04,True,inmet_lag_bio
temp_max_c_lag_2w,float64,27.27,True,inmet_lag_bio
temp_max_c_lag_3w,float64,27.5,True,inmet_lag_bio
temp_max_c_lag_4w,float64,27.74,True,inmet_lag_bio
temp_max_c_lag_5w,float64,27.96,True,inmet_lag_bio
temp_max_c_lag_6w,float64,28.19,True,inmet_lag_bio
temp_max_c_lag_7w,float64,28.41,True,inmet_lag_bio
temp_max_c_lag_8w,float64,28.64,True,inmet_lag_bio
temp_range_c_lag_1w,float64,27.11,True,inmet_lag_bio
temp_range_c_lag_2w,float64,27.34,True,inmet_lag_bio
temp_range_c_lag_3w,float64,27.57,True,inmet_lag_bio
temp_range_c_lag_4w,float64,27.8,True,inmet_lag_bio
temp_range_c_lag_5w,float64,28.03,True,inmet_lag_bio
temp_range_c_lag_6w,float64,28.26,True,inmet_lag_bio
temp_range_c_lag_7w,float64,28.48,True,inmet_lag_bio
temp_range_c_lag_8w,float64,28.7,True,inmet_lag_bio
humidity_mean_pct_lag_1w,float64,27.1,True,inmet_lag_bio
humidity_mean_pct_lag_2w,float64,27.33,True,inmet_lag_bio
humidity_mean_pct_lag_3w,float64,27.57,True,inmet_lag_bio
humidity_mean_pct_lag_4w,float64,27.8,True,inmet_lag_bio
humidity_mean_pct_lag_5w,float64,28.02,True,inmet_lag_bio
humidity_mean_pct_lag_6w,float64,28.25,True,inmet_lag_bio
humidity_mean_pct_lag_7w,float64,28.47,True,inmet_lag_bio
humidity_mean_pct_lag_8w,float64,28.69,True,inmet_lag_bio
pressure_mean_mbar_lag_1w,float64,24.24,True,inmet_lag_bio
pressure_mean_mbar_lag_2w,float64,24.49,True,inmet_lag_bio
pressure_mean_mbar_lag_3w,float64,24.73,True,inmet_lag_bio
pressure_mean_mbar_lag_4w,float64,24.98,True,inmet_lag_bio
pressure_mean_mbar_lag_5w,float64,25.22,True,inmet_lag_bio
pressure_mean_mbar_lag_6w,float64,25.46,True,inmet_lag_bio
pressure_mean_mbar_lag_7w,float64,25.7,True,inmet_lag_bio
pressure_mean_mbar_lag_8w,float64,25.94,True,inmet_lag_bio
wind_speed_mean_ms_lag_1w,float64,28.21,True,inmet_lag_bio
wind_speed_mean_ms_lag_2w,float64,28.43,True,inmet_lag_bio
wind_speed_mean_ms_lag_3w,float64,28.66,True,inmet_lag_bio
wind_speed_mean_ms_lag_4w,float64,28.88,True,inmet_lag_bio
wind_speed_mean_ms_lag_5w,float64,29.1,True,inmet_lag_bio
wind_speed_mean_ms_lag_6w,float64,29.32,True,inmet_lag_bio
wind_speed_mean_ms_lag_7w,float64,29.54,True,inmet_lag_bio
wind_speed_mean_ms_lag_8w,float64,29.76,True,inmet_lag_bio
radiation_mean_kj_lag_1w,float64,25.73,True,inmet_lag_bio
radiation_mean_kj_lag_2w,float64,25.96,True,inmet_lag_bio
radiation_mean_kj_lag_3w,float64,26.2,True,inmet_lag_bio
radiation_mean_kj_lag_4w,float64,26.44,True,inmet_lag_bio
radiation_mean_kj_lag_5w,float64,26.67,True,inmet_lag_bio
radiation_mean_kj_lag_6w,float64,26.9,True,inmet_lag_bio
radiation_mean_kj_lag_7w,float64,27.12,True,inmet_lag_bio
radiation_mean_kj_lag_8w,float64,27.35,True,inmet_lag_bio
