ANO_SEMANA,ANO_EPI,SEMANA_EPI,NOTIFICACOES,CLUSTER,CLUSTER_LABEL
202201,2022,1,776,0,baixa_transmissao
202202,2022,2,820,0,baixa_transmissao
202203,2022,3,990,0,baixa_transmissao
202204,2022,4,1237,0,baixa_transmissao
202205,2022,5,1411,0,baixa_transmissao
202206,2022,6,1671,0,baixa_transmissao
202207,2022,7,1604,0,baixa_transmissao
202208,2022,8,1761,0,baixa_transmissao
202209,2022,9,2153,0,baixa_transmissao
202210,2022,10,2637,0,baixa_transmissao
202211,2022,11,2962,0,baixa_transmissao
202212,2022,12,3515,0,baixa_transmissao
202213,2022,13,3974,0,baixa_transmissao
202214,2022,14,3969,0,baixa_transmissao
202215,2022,15,4022,0,baixa_transmissao
202216,2022,16,4860,0,baixa_transmissao
202217,2022,17,4355,0,baixa_transmissao
202218,2022,18,3475,1,transicao
202219,2022,19,3310,1,transicao
202220,2022,20,3276,0,baixa_transmissao
202221,2022,21,2316,0,baixa_transmissao
202222,2022,22,1852,0,baixa_transmissao
202223,2022,23,1551,0,baixa_transmissao
202224,2022,24,1197,0,baixa_transmissao
202225,2022,25,1020,0,baixa_transmissao
202226,2022,26,752,0,baixa_transmissao
202227,2022,27,514,0,baixa_transmissao
202228,2022,28,445,0,baixa_transmissao
202229,2022,29,366,0,baixa_transmissao
202230,2022,30,384,0,baixa_transmissao
202231,2022,31,347,0,baixa_transmissao
202232,2022,32,357,0,baixa_transmissao
202233,2022,33,331,0,baixa_transmissao
202234,2022,34,343,0,baixa_transmissao
202235,2022,35,392,0,baixa_transmissao
202236,2022,36,433,0,baixa_transmissao
202237,2022,37,426,0,baixa_transmissao
202238,2022,38,421,0,baixa_transmissao
202239,2022,39,490,0,baixa_transmissao
202240,2022,40,431,0,baixa_transmissao
202241,2022,41,432,0,baixa_transmissao
202242,2022,42,474,0,baixa_transmissao
202243,2022,43,375,0,baixa_transmissao
202244,2022,44,280,0,baixa_transmissao
202245,2022,45,377,0,baixa_transmissao
202246,2022,46,430,0,baixa_transmissao
202247,2022,47,502,0,baixa_transmissao
202248,2022,48,561,0,baixa_transmissao
202249,2022,49,725,0,baixa_transmissao
202250,2022,50,746,0,baixa_transmissao
202251,2022,51,609,0,baixa_transmissao
202252,2022,52,370,0,baixa_transmissao
202301,2023,1,718,0,baixa_transmissao
202302,2023,2,713,0,baixa_transmissao
202303,2023,3,794,0,baixa_transmissao
202304,2023,4,712,0,baixa_transmissao
202305,2023,5,888,0,baixa_transmissao
202306,2023,6,959,0,baixa_transmissao
202307,2023,7,802,0,baixa_transmissao
202308,2023,8,883,0,baixa_transmissao
202309,2023,9,908,0,baixa_transmissao
202310,2023,10,1014,0,baixa_transmissao
202311,2023,11,976,0,baixa_transmissao
202312,2023,12,1160,0,baixa_transmissao
202313,2023,13,1121,0,baixa_transmissao
202314,2023,14,955,0,baixa_transmissao
202315,2023,15,1266,0,baixa_transmissao
202316,2023,16,1155,0,baixa_transmissao
202317,2023,17,1053,0,baixa_transmissao
202318,2023,18,1145,0,baixa_transmissao
202319,2023,19,969,0,baixa_transmissao
202320,2023,20,956,0,baixa_transmissao
202321,2023,21,745,0,baixa_transmissao
202322,2023,22,754,0,baixa_transmissao
202323,2023,23,666,0,baixa_transmissao
202324,2023,24,724,0,baixa_transmissao
202325,2023,25,591,0,baixa_transmissao
202326,2023,26,445,0,baixa_transmissao
202327,2023,27,454,0,baixa_transmissao
202328,2023,28,506,0,baixa_transmissao
202329,2023,29,403,0,baixa_transmissao
202330,2023,30,364,0,baixa_transmissao
202331,2023,31,446,0,baixa_transmissao
202332,2023,32,377,0,baixa_transmissao
202333,2023,33,397,0,baixa_transmissao
202334,2023,34,370,0,baixa_transmissao
202335,2023,35,400,0,baixa_transmissao
202336,2023,36,445,0,baixa_transmissao
202337,2023,37,454,0,baixa_transmissao
202338,2023,38,396,0,baixa_transmissao
202339,2023,39,370,0,baixa_transmissao
202340,2023,40,360,0,baixa_transmissao
202341,2023,41,249,0,baixa_transmissao
202342,2023,42,354,0,baixa_transmissao
202343,2023,43,269,0,baixa_transmissao
202344,2023,44,358,0,baixa_transmissao
202345,2023,45,495,0,baixa_transmissao
202346,2023,46,584,0,baixa_transmissao
202347,2023,47,953,0,baixa_transmissao
202348,2023,48,1282,0,baixa_transmissao
202349,2023,49,1671,0,baixa_transmissao
202350,2023,50,2726,0,baixa_transmissao
202351,2023,51,3279,0,baixa_transmissao
202352,2023,52,2049,0,baixa_transmissao
202401,2024,1,8532,1,transicao
202402,2024,2,8700,1,transicao
202403,2024,3,12957,1,transicao
202404,2024,4,19097,1,transicao
202405,2024,5,22357,1,transicao
202406,2024,6,21921,1,transicao
202407,2024,7,21698,1,transicao
202408,2024,8,23293,1,transicao
202409,2024,9,21995,1,transicao
202410,2024,10,19210,1,transicao
202411,2024,11,17343,1,transicao
202412,2024,12,15508,1,transicao
202413,2024,13,10354,1,transicao
202414,2024,14,10665,1,transicao
202415,2024,15,9675,1,transicao
202416,2024,16,7546,1,transicao
202417,2024,17,5683,1,transicao
202418,2024,18,4557,1,transicao
202419,2024,19,3768,1,transicao
202420,2024,20,3278,0,baixa_transmissao
202421,2024,21,2856,0,baixa_transmissao
202422,2024,22,2045,0,baixa_transmissao
202423,2024,23,1381,0,baixa_transmissao
202424,2024,24,886,0,baixa_transmissao
202425,2024,25,591,0,baixa_transmissao
202426,2024,26,306,0,baixa_transmissao
202427,2024,27,350,0,baixa_transmissao
202428,2024,28,295,0,baixa_transmissao
202429,2024,29,219,0,baixa_transmissao
202430,2024,30,223,0,baixa_transmissao
202431,2024,31,258,0,baixa_transmissao
202432,2024,32,237,0,baixa_transmissao
202433,2024,33,262,0,baixa_transmissao
202434,2024,34,229,0,baixa_transmissao
202435,2024,35,194,0,baixa_transmissao
202436,2024,36,186,0,baixa_transmissao
202437,2024,37,195,0,baixa_transmissao
202438,2024,38,184,0,baixa_transmissao
202439,2024,39,203,0,baixa_transmissao
202440,2024,40,187,0,baixa_transmissao
202441,2024,41,176,0,baixa_transmissao
202442,2024,42,159,0,baixa_transmissao
202443,2024,43,212,0,baixa_transmissao
202444,2024,44,254,0,baixa_transmissao
202445,2024,45,349,0,baixa_transmissao
202446,2024,46,326,0,baixa_transmissao
202447,2024,47,487,0,baixa_transmissao
202448,2024,48,374,0,baixa_transmissao
202449,2024,49,420,0,baixa_transmissao
202450,2024,50,347,0,baixa_transmissao
202451,2024,51,310,0,baixa_transmissao
202452,2024,52,146,0,baixa_transmissao
