ANO_SEMANA,ANO_EPI,SEMANA_EPI,NOTIFICACOES,CLUSTER,CLUSTER_LABEL
200001,2000,1,4813,1,perfil_basal
200002,2000,2,4063,1,perfil_basal
200003,2000,3,3603,1,perfil_basal
200004,2000,4,4150,0,perfil_intermediario
200005,2000,5,4855,1,perfil_basal
200006,2000,6,5804,1,perfil_basal
200007,2000,7,6797,1,perfil_basal
200008,2000,8,7209,1,perfil_basal
200009,2000,9,6766,1,perfil_basal
200010,2000,10,7049,1,perfil_basal
200011,2000,11,7784,1,perfil_basal
200012,2000,12,7991,1,perfil_basal
200013,2000,13,7757,1,perfil_basal
200014,2000,14,7609,1,perfil_basal
200015,2000,15,6955,1,perfil_basal
200016,2000,16,5938,1,perfil_basal
200017,2000,17,6056,1,perfil_basal
200018,2000,18,6467,1,perfil_basal
200019,2000,19,5780,1,perfil_basal
200020,2000,20,5333,1,perfil_basal
200021,2000,21,3874,1,perfil_basal
200022,2000,22,3319,1,perfil_basal
200023,2000,23,3140,1,perfil_basal
200024,2000,24,2448,1,perfil_basal
200025,2000,25,2078,1,perfil_basal
200026,2000,26,2139,1,perfil_basal
200027,2000,27,1997,1,perfil_basal
200028,2000,28,1682,1,perfil_basal
200029,2000,29,1391,1,perfil_basal
200030,2000,30,1276,1,perfil_basal
200031,2000,31,1357,1,perfil_basal
200032,2000,32,1254,1,perfil_basal
200033,2000,33,1244,1,perfil_basal
200034,2000,34,1252,1,perfil_basal
200035,2000,35,976,1,perfil_basal
200036,2000,36,852,1,perfil_basal
200037,2000,37,916,1,perfil_basal
200038,2000,38,760,1,perfil_basal
200039,2000,39,691,1,perfil_basal
200040,2000,40,840,1,perfil_basal
200041,2000,41,965,1,perfil_basal
200042,2000,42,1220,1,perfil_basal
200043,2000,43,1232,1,perfil_basal
200044,2000,44,1266,1,perfil_basal
200045,2000,45,1500,1,perfil_basal
200046,2000,46,1644,1,perfil_basal
200047,2000,47,2082,1,perfil_basal
200048,2000,48,2026,1,perfil_basal
200049,2000,49,1786,1,perfil_basal
200050,2000,50,1719,1,perfil_basal
200051,2000,51,1529,1,perfil_basal
200052,2000,52,1391,1,perfil_basal
200053,2000,53,18,1,perfil_basal
200101,2001,1,6085,1,perfil_basal
