ANO_SEMANA,ANO_EPI,SEMANA_EPI,NOTIFICACOES,CLUSTER,CLUSTER_LABEL
202201,2022,1,776,2,perfil_agudo
202202,2022,2,820,2,perfil_agudo
202203,2022,3,990,2,perfil_agudo
202204,2022,4,1237,2,perfil_agudo
202205,2022,5,1411,2,perfil_agudo
202206,2022,6,1671,2,perfil_agudo
202207,2022,7,1604,2,perfil_agudo
202208,2022,8,1761,2,perfil_agudo
202209,2022,9,2153,2,perfil_agudo
202210,2022,10,2637,2,perfil_agudo
202211,2022,11,2962,2,perfil_agudo
202212,2022,12,3515,2,perfil_agudo
202213,2022,13,3974,2,perfil_agudo
202214,2022,14,3969,2,perfil_agudo
202215,2022,15,4022,2,perfil_agudo
202216,2022,16,4860,2,perfil_agudo
202217,2022,17,4355,2,perfil_agudo
202218,2022,18,3475,2,perfil_agudo
202219,2022,19,3310,2,perfil_agudo
202220,2022,20,3276,2,perfil_agudo
202221,2022,21,2316,2,perfil_agudo
202222,2022,22,1852,2,perfil_agudo
202223,2022,23,1551,2,perfil_agudo
202224,2022,24,1197,2,perfil_agudo
202225,2022,25,1020,1,perfil_intermediario
202226,2022,26,752,3,perfil_alterado
202227,2022,27,514,1,perfil_intermediario
202228,2022,28,445,1,perfil_intermediario
202229,2022,29,366,1,perfil_intermediario
202230,2022,30,384,1,perfil_intermediario
202231,2022,31,347,2,perfil_agudo
202232,2022,32,357,1,perfil_intermediario
202233,2022,33,331,1,perfil_intermediario
202234,2022,34,343,1,perfil_intermediario
202235,2022,35,392,1,perfil_intermediario
202236,2022,36,433,1,perfil_intermediario
202237,2022,37,426,1,perfil_intermediario
202238,2022,38,421,1,perfil_intermediario
202239,2022,39,490,1,perfil_intermediario
202240,2022,40,431,1,perfil_intermediario
202241,2022,41,432,1,perfil_intermediario
202242,2022,42,474,1,perfil_intermediario
202243,2022,43,375,1,perfil_intermediario
202244,2022,44,280,1,perfil_intermediario
202245,2022,45,377,1,perfil_intermediario
202246,2022,46,430,1,perfil_intermediario
202247,2022,47,502,1,perfil_intermediario
202248,2022,48,561,3,perfil_alterado
202249,2022,49,725,1,perfil_intermediario
202250,2022,50,746,3,perfil_alterado
202251,2022,51,609,3,perfil_alterado
202252,2022,52,370,1,perfil_intermediario
202301,2023,1,718,3,perfil_alterado
202302,2023,2,713,1,perfil_intermediario
202303,2023,3,794,3,perfil_alterado
202304,2023,4,712,3,perfil_alterado
202305,2023,5,888,3,perfil_alterado
202306,2023,6,959,3,perfil_alterado
202307,2023,7,802,3,perfil_alterado
202308,2023,8,883,3,perfil_alterado
202309,2023,9,908,3,perfil_alterado
202310,2023,10,1014,3,perfil_alterado
202311,2023,11,976,3,perfil_alterado
202312,2023,12,1160,3,perfil_alterado
202313,2023,13,1121,3,perfil_alterado
202314,2023,14,955,3,perfil_alterado
