ANO,semanas,notificacoes_total,notificacoes_media,notificacoes_mediana,notificacoes_pico,sintomas_medios,alarme_medio,gravidade_media,atraso_medio
2000,53,174643,3295.1509433962265,2078.0,7991,0.4015246068309328,0.12962962962962962,,43.54093659851718
2001,53,473332,8930.792452830188,5137.0,25884,0.3636119777710734,0.0,,64.3053986169188
2002,52,880232,16927.53846153846,4089.5,77839,0.36036396871596094,0.2777777777777778,,42.37580394488172
2003,53,403566,7614.452830188679,3479.0,23848,0.376625817117756,0.2222222222222222,,31.462965769599077
2004,53,133751,2523.603773584906,2121.0,6523,0.37940047802429455,0.4444444444444444,,13838.820213557992
2005,52,250857,4824.173076923077,4235.0,9876,0.3656265944119215,0.3333333333333333,0.0,33.76505805647035
2006,52,390424,7508.153846153846,4414.5,21156,0.35570841529186326,0.3333333333333333,0.4,15.692557790955526
2007,52,718996,13826.846153846154,7512.5,39505,0.26361554503189033,0.25,,9.907731260141418
2008,53,918957,17338.811320754718,5215.0,88454,0.25403066378066375,0.16666666666666666,,10.678505483628676
2009,52,609750,11725.961538461539,9302.0,33357,0.2657862579150173,0.2777777777777778,,8.82906354225167
2010,52,1374384,26430.46153846154,13726.0,67794,0.24988633253213152,0.19444444444444442,0.0,7.848536745696634
2011,52,1142350,21968.26923076923,10527.0,63626,0.2369537657584434,0.16666666666666666,,7.125560900174571
2012,52,948065,18232.01923076923,14585.5,47895,0.2662798722675943,0.2222222222222222,,10.77029406928973
2013,52,2017154,38791.42307692308,12304.5,137522,0.2342849642300809,0.2222222222222222,0.06666666666666667,5.963758130349485
2014,53,970810,18317.169811320753,10981.0,56012,0.20248141928738508,0.1111111111111111,0.0,6.564948122862726
2015,52,2421177,46561.096153846156,31956.5,139437,0.20948514048266142,0.1631490058204509,0.12691615046870988,6.251394069032035
2016,52,2259456,43451.07692307692,8732.5,154114,0.23030284690778846,0.16588789368825935,0.1841341768244188,4.6218442717580865
2017,52,514769,9899.403846153846,6392.5,19011,0.2811617867511641,0.21065547248874095,0.1758033021947049,6.387520691570748
2018,52,481391,9257.51923076923,8975.0,18941,0.30013319187609117,0.23309658875633604,0.17872410707263686,8.434099891281182
2019,52,2258032,43423.692307692305,21096.5,142065,0.31090095181438815,0.21026986379615253,0.19335066652227126,7.588082514675221
2020,53,1548867,29223.905660377357,17696.0,87353,0.3008082934391186,0.21247981655484338,0.20446093423711204,6.161978339097489
2021,52,1010359,19429.98076923077,15795.0,44526,0.28129197791294874,0.20847858883905734,0.18038914576814744,5.002116611765538
2022,52,1405095,27021.05769230769,12495.0,103841,0.2937195389521751,0.10997084427623821,0.021284172114037273,4.96721099158976
2023,52,1645956,31653.0,16197.5,110655,0.29602406009782345,0.03149670812794624,0.002245562270716827,4.432048518058412
2024,52,6564924,126248.53846153847,38209.5,433513,0.3029382679626793,0.07743141473288147,0.008532555500955295,4.462527436035307
2025,53,1646533,31066.66037735849,9535.0,90350,0.30186325896628613,0.08743435506443838,0.010920999485390938,4.496552943297534
2026,15,253941,16929.4,15030.0,26371,0.30610052474389376,0.08585997590834249,0.008969949458136664,3.7752524716042846
