feature,grupo,dtype,missing_pct,descricao
ANO_EPI,identificacao,int64,0.0,Atributo derivado para modelagem e analise temporal.
ANO_SEMANA,identificacao,int64,0.0,Atributo derivado para modelagem e analise temporal.
SEMANA_EPI,identificacao,int64,0.0,Atributo derivado para modelagem e analise temporal.
ano,identificacao,Int64,0.0,Atributo derivado para modelagem e analise temporal.
semana,identificacao,Int64,0.0,Atributo derivado para modelagem e analise temporal.
week_start,identificacao,datetime64[ns],0.0,Atributo derivado para modelagem e analise temporal.
notificacoes_desvio_movel_12,janela_movel,float64,1.2821,Atributo derivado para modelagem e analise temporal.
notificacoes_desvio_movel_3,janela_movel,float64,1.2821,Atributo derivado para modelagem e analise temporal.
notificacoes_desvio_movel_4,janela_movel,float64,1.2821,Atributo derivado para modelagem e analise temporal.
notificacoes_desvio_movel_8,janela_movel,float64,1.2821,Atributo derivado para modelagem e analise temporal.
notificacoes_max_movel_12,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_max_movel_3,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_max_movel_4,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_max_movel_8,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_media_movel_12,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_media_movel_3,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_media_movel_4,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_media_movel_8,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_min_movel_12,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_min_movel_3,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_min_movel_4,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
notificacoes_min_movel_8,janela_movel,float64,0.641,Atributo derivado para modelagem e analise temporal.
indice_alarme,perfil_clinico,float64,0.641,Media semanal dos sinais de alarme.
indice_carga_clinica,perfil_clinico,float64,0.0,Indicador composto do perfil clinico semanal.
indice_comorbidades,perfil_clinico,float64,0.0,Media semanal das comorbidades notificadas.
indice_confirmacao,perfil_clinico,float64,0.0,Diferenca entre proporcao de casos confirmados/provaveis e inconclusivos.
indice_desfecho_severo,perfil_clinico,float64,0.0,"Indicador composto de hospitalizacao, alarme, gravidade e obito por agravo."
indice_gravidade,perfil_clinico,float64,38.4615,Media semanal dos marcadores de dengue grave.
indice_hemorragico,perfil_clinico,float64,100.0,Media semanal dos marcadores hemorragicos.
indice_sintomas,perfil_clinico,float64,0.0,Media semanal das flags de sintomas classicos de dengue.
semana_cos,sazonalidade,float64,0.0,Componente cossenoidal para representar sazonalidade anual.
semana_sin,sazonalidade,float64,0.0,Componente senoidal para representar sazonalidade anual.
alerta_crescimento,targets_auxiliares,int64,0.0,Rotulo auxiliar para semanas com crescimento semanal elevado.
alerta_notificacoes_q75,targets_auxiliares,int64,0.0,Rotulo auxiliar para semanas no quartil superior de notificacoes.
alerta_notificacoes_q90,targets_auxiliares,int64,0.0,Rotulo auxiliar para semanas no decil superior de notificacoes.
notificacoes_aceleracao_1,variacao,float64,1.2821,Aceleracao semanal do crescimento das notificacoes.
notificacoes_diff_1,variacao,float64,0.641,Variacao absoluta semanal das notificacoes.
notificacoes_diff_4,variacao,float64,2.5641,Variacao absoluta em relacao a quatro semanas antes.
notificacoes_pct_change_1,variacao,float64,0.641,Variacao percentual semanal das notificacoes.
notificacoes_pct_change_4,variacao,float64,2.5641,Variacao percentual em relacao a quatro semanas antes.
notificacoes_razao_media_4,variacao,float64,0.641,Razao entre a semana corrente e a media movel das quatro semanas anteriores.
notificacoes_razao_media_8,variacao,float64,0.641,Razao entre a semana corrente e a media movel das oito semanas anteriores.
NOTIFICACOES,volume,int64,0.0,Contagem semanal de notificacoes no recorte do SINAN.
notificacoes_lag_1,volume,float64,0.641,Volume de notificacoes na semana epidemiologica imediatamente anterior.
notificacoes_lag_12,volume,float64,7.6923,Volume de notificacoes observado doze semanas antes.
notificacoes_lag_2,volume,float64,1.2821,Volume de notificacoes observado duas semanas antes.
notificacoes_lag_3,volume,float64,1.9231,Volume de notificacoes observado tres semanas antes.
notificacoes_lag_4,volume,float64,2.5641,Volume de notificacoes observado quatro semanas antes.
notificacoes_lag_8,volume,float64,5.1282,Volume de notificacoes observado oito semanas antes.
