ANO_SEMANA,ANO_EPI,SEMANA_EPI,NOTIFICACOES,idade_anos,atraso_notificacao_dias,sexo_masc,sexo_fem,gestante,hospitalizado,obito_agravo,obito_outras_causas,criterio_lab,criterio_clinico_epi,criterio_clinico,caso_confirmado_provavel,caso_descartado,caso_inconclusivo,caso_dengue_alarme,caso_dengue_grave,caso_chikungunya,raca_branca,raca_preta,raca_amarela,raca_parda,raca_indigena,febre_flag,mialgia_flag,cefaleia_flag,exantema_flag,vomito_flag,nausea_flag,dor_costas_flag,conjuntvit_flag,artrite_flag,artralgia_flag,petequia_n_flag,leucopenia_flag,laco_flag,dor_retro_flag,diabetes_flag,hematolog_flag,hepatopat_flag,renal_flag,hipertensa_flag,acido_pept_flag,auto_imune_flag,alrm_hipot_flag,alrm_plaq_flag,alrm_vom_flag,alrm_sang_flag,alrm_hemat_flag,alrm_abdom_flag,alrm_letar_flag,alrm_hepat_flag,alrm_liq_flag,grav_pulso_flag,grav_conv_flag,grav_ench_flag,grav_insuf_flag,grav_taqui_flag,grav_extre_flag,grav_hipot_flag,grav_hemat_flag,grav_melen_flag,grav_metro_flag,grav_sang_flag,grav_ast_flag,grav_mioc_flag,grav_consc_flag,grav_orgao_flag,mani_hemor_flag,epistaxe_flag,gengivo_flag,metro_flag,petequias_flag,hematura_flag,sangram_flag,laco_n_flag,plasmatico_flag,evidencia_flag,plaq_menor_flag,con_fhd_flag,week_start,ano,semana,semana_sin,semana_cos,notificacoes_lag_1,notificacoes_lag_2,notificacoes_lag_3,notificacoes_lag_4,notificacoes_lag_8,notificacoes_lag_12,notificacoes_media_movel_3,notificacoes_desvio_movel_3,notificacoes_min_movel_3,notificacoes_max_movel_3,notificacoes_media_movel_4,notificacoes_desvio_movel_4,notificacoes_min_movel_4,notificacoes_max_movel_4,notificacoes_media_movel_8,notificacoes_desvio_movel_8,notificacoes_min_movel_8,notificacoes_max_movel_8,notificacoes_media_movel_12,notificacoes_desvio_movel_12,notificacoes_min_movel_12,notificacoes_max_movel_12,notificacoes_diff_1,notificacoes_diff_4,notificacoes_pct_change_1,notificacoes_pct_change_4,notificacoes_aceleracao_1,notificacoes_razao_media_4,notificacoes_razao_media_8,indice_sintomas,indice_comorbidades,indice_alarme,indice_gravidade,indice_hemorragico,indice_carga_clinica,indice_desfecho_severo,indice_confirmacao,alerta_notificacoes_q75,alerta_notificacoes_q90,alerta_crescimento
200001,2000,1,4813,8.137157534246576,30.07749844172034,0.4460835237897361,0.5510076875129857,0.0,0.0090131909097426,0.0,0.0,0.3638392857142857,0.5647321428571428,0.0714285714285714,0.5,0.0,0.125,0.0,0.0,0.0,0.0556215503301745,0.0,0.0108334311963071,0.0984012201254452,0.0,0.9802866712866712,0.799909506131494,0.92933322544101,0.5492400927641079,0.0961538461538461,0.3076923076923077,0.0,0.0,0.0,0.709210642721281,0.0,0.0,0.21145227505987,0.4038461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0391575200237318,0.0199404761904761,0.0,0.2193585337915234,0.0,0.0,,,,0.0,,2000-01-03,2000,1,0.12053668025532305,0.992708874098054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356223194364053,0.0,,,0.03977950428653304,0.13200089955019534,0.00225329772743565,0.375,0,0,0
200002,2000,2,4063,102.72976338729764,20.089835097218803,0.4646812699975388,0.5323652473541718,0.0909090909090909,0.0249815043156596,0.0,0.0,0.5974025974025974,0.4025974025974025,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.050699722923671,0.0326981193739584,0.0,0.1154982330403867,0.0,0.9731468531468532,0.8135391923990499,0.9220742419948994,0.479282622139765,,,,,,0.7246467817896389,,,0.1824817518248175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0378890392422192,0.0183861082737487,0.0,0.1763553233180927,0.0,0.0,,,,0.0,,2000-01-10,2000,2,0.23931566428755774,0.970941817426052,4813.0,,,,,,4813.0,,4813.0,4813.0,4813.0,,4813.0,4813.0,4813.0,,4813.0,4813.0,4813.0,,4813.0,4813.0,-750.0,,-0.1558279659256181,,,0.8441720340743819,0.8441720340743819,0.6825285738825041,,,,0.0332329244048658,0.35788074914368495,0.0062453760789149,0.5454545454545454,0,0,0
200003,2000,3,3603,62.15890410958904,33.35886761032473,0.4524007771301693,0.5437135720233139,0.0,0.0383866481223921,0.0,0.0,0.44,0.4933333333333333,0.0666666666666666,0.5333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.121578578697646,0.0115908700421605,0.0003700619853825,0.1004321795329289,0.0,0.9750891184631996,0.7829141915141539,0.9126581084019514,0.4581517539792922,0.1904761904761904,0.5714285714285714,0.1904761904761904,0.0,0.0,0.6811681843725799,0.0,0.0,0.2545177758029099,0.1904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0196152395322519,0.0169939577039274,0.0,0.152741994847258,0.0,0.0,,,,0.0,,2000-01-17,2000,3,0.3546048870425356,0.9350162426854148,4063.0,4813.0,,,,,4438.0,530.3300858899106,4063.0,4813.0,4438.0,530.3300858899106,4063.0,4813.0,4438.0,530.3300858899106,4063.0,4813.0,4438.0,530.3300858899106,4063.0,4813.0,-460.0,,-0.11321683485109524,,290.0,0.8118521856692203,0.8118521856692203,0.3719540196708021,0.0,,,0.027050170297633902,0.13300139665614533,0.009596662030598025,0.2,0,0,0
200004,2000,4,4150,64.1622760800843,25.52819277108434,0.4542168674698794,0.5407228915662651,0.0,0.0382906808305166,0.0,0.0,0.6923076923076923,0.2307692307692307,0.0769230769230769,0.4615384615384615,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0829152676278885,0.0165830535255777,0.0165830535255777,0.1151175192573572,0.0,0.9782677865301352,0.7892444444444445,0.930142753973763,0.4284813725358513,0.0,0.0,0.0,0.0,0.0,0.6631248807796897,0.0,0.0,0.1926707397935018,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0282522996057818,0.0191355988122731,0.0092592592592592,0.1707395498392283,0.0,0.0101010101010101,,,,0.0,,2000-01-24,2000,4,0.4647231720437685,0.8854560256532099,3603.0,4063.0,4813.0,,,,4159.666666666667,610.7645481962206,3603.0,4813.0,4159.666666666667,610.7645481962206,3603.0,4813.0,4159.666666666667,610.7645481962206,3603.0,4813.0,4159.666666666667,610.7645481962206,3603.0,4813.0,547.0,,0.15181792950319184,,1007.0,0.9976760958410128,0.9976760958410128,0.30823323652790846,0.09523809523809523,0.2222222222222222,,0.033926816802507496,0.16490509269768336,0.028803439438398373,0.3846153846153846,0,0,1
200005,2000,5,4855,53.27065609228551,34.68609680741503,0.4337796086508753,0.5621009268795055,0.0,0.0367354570822935,0.0,0.0,0.5526315789473685,0.4473684210526316,0.0,0.4736842105263157,0.0,0.4210526315789473,0.0,0.0,0.0,0.1100454857535187,0.0233457775489186,0.0,0.1184796601441812,0.0002059732234809,0.9757786358417804,0.7830078045294664,0.932779322689624,0.4618392628718467,0.1944444444444444,0.2916666666666667,0.0972222222222222,0.0,0.0972222222222222,0.6636857657155362,0.0,0.0972222222222222,0.1520617000724462,0.1944444444444444,0.0972222222222222,0.0972222222222222,0.0972222222222222,0.0972222222222222,0.0972222222222222,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0288915094339622,0.018595041322314,0.0,0.1702188940092165,0.0078740157480314,0.0079365079365079,,,,0.0,,2000-01-31,2000,5,0.5680647467311558,0.8229838658936564,4150.0,3603.0,4063.0,4813.0,,,3938.6666666666665,293.9325319411475,3603.0,4150.0,4157.25,498.71058741518624,3603.0,4813.0,4157.25,498.71058741518624,3603.0,4813.0,4157.25,498.71058741518624,3603.0,4813.0,705.0,42.0,0.16987951807228918,0.008726366091834636,158.0,1.1678393168560948,1.1678393168560948,0.35295533671020873,0.06944444444444443,,,0.03335942406429029,0.15191973507298115,0.009183864270573374,0.05263157894736842,0,0,1
200006,2000,6,5804,68.6613277133825,33.03514817367333,0.4471054445210199,0.5496209510682288,0.0769230769230769,0.0106748646474089,0.0,0.0,0.532051282051282,0.4679487179487179,0.0,0.3846153846153846,0.0,0.2692307692307692,0.0,0.0,0.0,0.0755605309576708,0.0339381930956706,0.000569898743572,0.131209697435576,0.0,0.9764993502079226,0.8025043253051959,0.9438185229693524,0.4634049884662922,0.75,0.25,0.25,0.0,0.0,0.6716338649188096,0.0,0.0,0.1761698342723829,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0281265695630336,0.0166204986149584,0.0066225165562913,0.1412457086807258,0.007751937984496,0.0155038759689921,,,,0.0,,2000-02-07,2000,6,0.6631226582407952,0.7485107481711011,4855.0,4150.0,3603.0,4063.0,,,4202.666666666667,627.6594087029473,3603.0,4855.0,4167.75,517.2177974509385,3603.0,4855.0,4296.8,532.8275518401804,3603.0,4855.0,4296.8,532.8275518401804,3603.0,4855.0,949.0,1741.0,0.19546858908341913,0.428501107555993,244.0,1.3925979245396196,1.3507726680320238,0.3952879204385682,0.0,,,0.03083872962407103,0.1420422166875464,0.002668716161852225,0.11538461538461536,0,0,1
200007,2000,7,6797,110.5432003176494,31.94600559070178,0.4375459761659556,0.559511549212888,0.0,0.0279677466814106,0.0,0.0,0.4596273291925465,0.5403726708074533,0.0,0.5652173913043478,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,0.1237642086044642,0.0171934764734906,0.0,0.1349486258725711,0.0,0.9735946667780664,0.7942760670933052,0.9365839008298796,0.4862972292533394,0.2666666666666666,0.3333333333333332,0.3333333333333332,0.0,0.0,0.6800271274906893,0.0666666666666666,0.0666666666666666,0.0909444505818235,0.3333333333333332,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0298323471400394,0.0170918999256873,0.0,0.1470945781667882,0.0,0.0,,0.0,,0.0,,2000-02-14,2000,7,0.748510748171101,0.6631226582407953,5804.0,4855.0,4150.0,3603.0,,,4936.333333333333,829.9941766863991,4150.0,5804.0,4603.0,950.6338236496041,3603.0,5804.0,4548.0,778.2883784305147,3603.0,5804.0,4548.0,778.2883784305147,3603.0,5804.0,993.0,3194.0,0.17108890420399714,0.8864834859839024,44.0,1.4766456658700848,1.4945030782761652,0.38298024585907875,0.009523809523809514,,,0.021557647248057213,0.13802056754364847,0.00699193667035265,0.5217391304347826,0,0,1
200008,2000,8,7209,130.2217633628794,33.21431543903454,0.4429185740047162,0.5523650991815786,0.0,0.0138637698633524,0.0,0.0,0.5133465150766189,0.486653484923381,0.0,0.6647058823529413,0.0,0.1220588235294117,0.0,0.0,0.0,0.1354750756978235,0.0145083701041713,0.0047850176595494,0.0882631989718525,0.0001585319937379,0.9749722386453792,0.7998152393172254,0.9373629862000136,0.4826580751493339,0.0,0.4,0.6,0.0,0.2,0.6778049037918803,0.2,0.0,0.1790959736642187,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0211157455683003,0.0151673640167364,0.0,0.1565462464770689,0.0,0.0,,,,0.0,,2000-02-21,2000,8,0.8229838658936564,0.5680647467311559,6797.0,5804.0,4855.0,4150.0,,,5818.666666666667,971.0830723132462,4855.0,6797.0,5401.5,1150.991022264437,4150.0,6797.0,4869.285714285715,1107.857799883137,3603.0,6797.0,4869.285714285715,1107.857799883137,3603.0,6797.0,412.0,3059.0,0.06061497719582176,0.7371084337349398,-581.0,1.33462926964732,1.4805046208009387,0.43226495834057505,0.028571428571428574,,,0.027547050866015086,0.16279447925933957,0.0034659424658381,0.5426470588235296,0,0,0
200009,2000,9,6766,63.46415525114156,27.31525273425953,0.4518179130948861,0.5443393437777122,0.0,0.0344214922446978,0.0,0.0,0.2222222222222222,0.7777777777777777,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0751952473796989,0.0184528306018107,0.0,0.0632023921017909,0.0,0.9754745304815928,0.7987699087368663,0.9267624930334571,0.5048623691507768,0.2916666666666667,0.3888888888888888,0.2916666666666667,0.0,0.0972222222222222,0.6834882186367345,0.0,0.0,0.1399722673566682,0.9027777777777778,0.0,0.0,0.0,0.0,0.0972222222222222,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0334244910361592,0.0128009753124047,0.0,0.1665682220909627,0.0,0.0,,,,0.0,,2000-02-28,2000,9,0.8854560256532099,0.4647231720437686,7209.0,6797.0,5804.0,4855.0,4813.0,,6603.333333333333,722.2439569379126,5804.0,7209.0,6166.25,1054.4785046015243,4855.0,7209.0,5161.75,1317.6859315807064,3603.0,7209.0,5161.75,1317.6859315807064,3603.0,7209.0,-443.0,1911.0,-0.06145096407268691,0.3936148300720905,-855.0,1.097263328603284,1.3107957572528697,0.4286822864013084,0.013888888888888885,,,0.030399098348503798,0.15765675787956704,0.00860537306117445,0.25,0,0,0
200010,2000,10,7049,48.14072488584475,24.58419633990637,0.4245992339338913,0.5704355227691872,0.0,0.0193957612031097,0.0,0.0,0.6071428571428571,0.3928571428571428,0.0,0.5972222222222222,0.0694444444444444,0.1388888888888889,0.0625,0.0,0.0,0.1216782383843084,0.0292222226838905,0.0,0.1060201621128687,0.0,0.9806294858690112,0.7760284450734809,0.9430083134294976,0.4961411009095504,0.0,0.0,0.0,0.0,0.0,0.6770192324808577,0.0,0.0,0.1082409906710233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.03173828125,0.0142857142857141,0.0,0.163934426229508,0.0,0.0,,0.0,,0.0,,2000-03-06,2000,10,0.9350162426854148,0.35460488704253557,6766.0,7209.0,6797.0,5804.0,4063.0,,6924.0,247.30345731509746,6766.0,7209.0,6644.0,595.292085170521,5804.0,7209.0,5405.875,1420.7286297128364,3603.0,7209.0,5340.0,1343.5835478302047,3603.0,7209.0,283.0,1245.0,0.041826780963641674,0.2145072363886975,726.0,1.0609572546658639,1.303951719194395,0.2843619691738158,0.0,0.1111111111111111,,0.023328713529469122,0.10470044845359901,0.020473940300777427,0.4583333333333333,0,0,0
