year,file_name,source_url,file_size_bytes,sha256,total_records,duplicate_records_removed,invalid_week_records,invalid_municipality_records,valid_records,unique_municipio_semana_rows,municipality_resolution_counts,week_source_counts,json_member,silver_path
2000,DENGBR00.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR00.json.zip,5986502,ba941c19f10b3f25db820435e17dfe898cbb8a1ab25ac887d4e61103c332164b,172855,1143,0,0,171712,19754,{'direct_7d': 171712},"{'SEM_PRI': 171107, 'SEM_NOT': 605}",DENGBR00.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2000/part-000.parquet
2001,DENGBR01.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR01.json.zip,18111973,9d7c82dae0c3430ddb009ba7366b9ff3de2568d22c4bdd77275edc2a648640d1,488590,2299,0,0,486291,44551,{'direct_7d': 486291},"{'SEM_PRI': 486097, 'SEM_NOT': 167, 'DT_SIN_PRI_iso': 27}",DENGBR01.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2001/part-000.parquet
2002,DENGBR02.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR02.json.zip,37256549,bac33cab4640452cb5c024fda530a3dcd9212e3827a1c1b4cb7f8b410a1767ca,897093,10949,0,0,886144,60659,{'direct_7d': 886144},"{'SEM_PRI': 883043, 'SEM_NOT': 3052, 'DT_SIN_PRI_iso': 49}",DENGBR02.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2002/part-000.parquet
2003,DENGBR03.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR03.json.zip,21342295,865561e713bfdb81a9800dc85fdbf3ecde9bc02b7df5a968bb18b09bd1c6e492,416609,1652,0,0,414957,49843,{'direct_7d': 414957},"{'SEM_PRI': 412541, 'SEM_NOT': 2352, 'DT_SIN_PRI_iso': 64}",DENGBR03.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2003/part-000.parquet
2004,DENGBR04.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR04.json.zip,8086501,b8b0545397351e009e91e9979464a502d43f6c964cb1fa6f13a5aab71c11f98e,136867,77,0,0,136790,27899,{'direct_7d': 136790},"{'SEM_PRI': 135985, 'DT_SIN_PRI_iso': 455, 'SEM_NOT': 350}",DENGBR04.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2004/part-000.parquet
2005,DENGBR05.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR05.json.zip,14588288,861819b1aaf8cfbe5701ff08fd56f4a58641f8b1886fce3c8f355d5588b1dc31,261501,980,0,0,260521,38433,{'direct_7d': 260521},"{'SEM_PRI': 256813, 'SEM_NOT': 3676, 'DT_SIN_PRI_iso': 32}",DENGBR05.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2005/part-000.parquet
2006,DENGBR06.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR06.json.zip,23215047,34099901adead9abe9c8e100cc6f062355d7a8c84607f9859d63d235952d7efa,411022,729,0,0,410293,48240,"{'direct_7d': 410274, 'df_prefix_fallback': 2, 'prefix_6d_to_7d': 17}","{'SEM_PRI': 402241, 'DT_SIN_PRI_iso': 3627, 'SEM_NOT': 4425}",DENGBR06.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2006/part-000.parquet
2007,DENGBR07.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR07.json.zip,22083758,86e938269fc825158122bbf8a7478a5509603a50951c6cd73d8b08539924a90e,717097,2079,0,0,715018,65486,{'prefix_6d_to_7d': 715018},"{'SEM_PRI': 714691, 'DT_SIN_PRI_iso': 227, 'SEM_NOT': 100}",DENGBR07.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2007/part-000.parquet
2008,DENGBR08.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR08.json.zip,25430020,bab80d4fc61b6b69f371a97e6bd770c04ed733092165fbd5cb169ba1a834864c,919324,6218,0,0,913106,66334,"{'prefix_6d_to_7d': 913104, 'df_prefix_fallback': 2}","{'SEM_PRI': 913103, 'DT_SIN_PRI_iso': 1, 'SEM_NOT': 1, 'DT_NOTIFIC_iso': 1}",DENGBR08.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2008/part-000.parquet
2009,DENGBR09.json.zip,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINAN/Dengue/json/DENGBR09.json.zip,18196698,5822805ad9a16972e5b9dbf8d4c9ce5aeb1d251915e078ded70169f946dd5e91,600658,2495,0,0,598163,55926,"{'prefix_6d_to_7d': 598160, 'df_prefix_fallback': 3}",{'SEM_PRI': 598163},DENGBR09.json,/Users/filippoferrari/Documents/UnB/TCC/MODELO-PREVISAO/data/sinan/silver/sinan_tcc2_v1/official_observed/year=2009/part-000.parquet
