ibge_municipio,ano_semana,notificacoes,cluster_id,cluster_label
3501301,201311,13.0,2,muito_baixa_transmissao
4103701,202303,19.0,0,baixa_transmissao
2111201,201521,3.0,0,baixa_transmissao
3129004,202348,2.0,2,muito_baixa_transmissao
5205059,201210,1.0,2,muito_baixa_transmissao
3527603,201931,2.0,0,baixa_transmissao
3555356,200316,2.0,0,baixa_transmissao
3164704,202216,113.0,0,baixa_transmissao
3542305,202008,1.0,0,baixa_transmissao
4309704,202409,5.0,0,baixa_transmissao
3513108,201013,52.0,0,baixa_transmissao
2207009,200129,3.0,0,baixa_transmissao
5221403,200025,1.0,0,baixa_transmissao
3504008,200725,12.0,2,muito_baixa_transmissao
5217104,201911,9.0,0,baixa_transmissao
2208403,200811,9.0,2,muito_baixa_transmissao
4114401,202017,4.0,0,baixa_transmissao
2310852,200215,2.0,0,baixa_transmissao
2208403,201201,3.0,0,baixa_transmissao
2607109,201513,6.0,2,muito_baixa_transmissao
4203600,202514,1.0,0,baixa_transmissao
2916906,202114,10.0,0,baixa_transmissao
5201504,202510,7.0,0,baixa_transmissao
2921708,201430,2.0,2,muito_baixa_transmissao
3126703,202006,2.0,0,baixa_transmissao
3530706,200207,2.0,0,baixa_transmissao
5218003,201729,2.0,0,baixa_transmissao
3525904,202008,43.0,0,baixa_transmissao
5004502,201117,1.0,2,muito_baixa_transmissao
4106704,201004,2.0,0,baixa_transmissao
3150604,201910,2.0,0,baixa_transmissao
4312005,202129,1.0,0,baixa_transmissao
2102200,200744,1.0,0,baixa_transmissao
4304507,201007,1.0,2,muito_baixa_transmissao
3143500,202306,50.0,0,baixa_transmissao
4111605,201019,11.0,0,baixa_transmissao
3125002,201427,1.0,2,muito_baixa_transmissao
4116901,202043,3.0,0,baixa_transmissao
3151503,202125,5.0,0,baixa_transmissao
5217609,201245,2.0,2,muito_baixa_transmissao
3201100,202409,9.0,0,baixa_transmissao
3136900,202203,1.0,0,baixa_transmissao
4104055,200217,2.0,0,baixa_transmissao
4103602,201615,35.0,0,baixa_transmissao
4112751,202004,32.0,0,baixa_transmissao
5107248,201425,1.0,0,baixa_transmissao
4310108,202523,1.0,0,baixa_transmissao
4116802,201012,1.0,2,muito_baixa_transmissao
3306008,200816,9.0,2,muito_baixa_transmissao
2203909,202610,1.0,0,baixa_transmissao
5218805,201205,8.0,0,baixa_transmissao
3549102,200827,1.0,2,muito_baixa_transmissao
3532157,202007,13.0,0,baixa_transmissao
5100250,201015,3.0,2,muito_baixa_transmissao
2606200,201234,1.0,2,muito_baixa_transmissao
1712504,202020,2.0,2,muito_baixa_transmissao
3114550,201217,1.0,2,muito_baixa_transmissao
5006903,201518,1.0,2,muito_baixa_transmissao
3159803,202432,2.0,0,baixa_transmissao
1100262,202316,4.0,0,baixa_transmissao
1400456,202423,2.0,2,muito_baixa_transmissao
4104600,201518,2.0,0,baixa_transmissao
2709152,201112,9.0,2,muito_baixa_transmissao
3203908,201226,14.0,2,muito_baixa_transmissao
4310538,202522,1.0,2,muito_baixa_transmissao
4125407,202602,1.0,0,baixa_transmissao
4208203,200251,1.0,0,baixa_transmissao
4111902,202608,10.0,0,baixa_transmissao
3168705,200128,16.0,2,muito_baixa_transmissao
2903409,201752,1.0,0,baixa_transmissao
3123205,202010,1.0,0,baixa_transmissao
2917805,200920,1.0,2,muito_baixa_transmissao
1507607,200336,1.0,0,baixa_transmissao
4125308,201306,3.0,0,baixa_transmissao
5221403,201833,28.0,0,baixa_transmissao
2602605,201839,8.0,0,baixa_transmissao
2904308,201417,1.0,2,muito_baixa_transmissao
2307700,200622,5.0,0,baixa_transmissao
2928901,201711,2.0,2,muito_baixa_transmissao
3523602,201611,3.0,2,muito_baixa_transmissao
4100806,202415,6.0,0,baixa_transmissao
3123601,202502,2.0,0,baixa_transmissao
2608107,200627,1.0,0,baixa_transmissao
3527108,202249,4.0,0,baixa_transmissao
2401602,201611,5.0,2,muito_baixa_transmissao
4119905,202435,33.0,0,baixa_transmissao
3141702,201705,3.0,0,baixa_transmissao
4204301,200515,1.0,0,baixa_transmissao
1600055,202448,1.0,2,muito_baixa_transmissao
4128104,202433,1.0,0,baixa_transmissao
3166600,201609,1.0,0,baixa_transmissao
3136959,201518,1.0,2,muito_baixa_transmissao
2313104,202027,3.0,0,baixa_transmissao
2907202,201608,18.0,2,muito_baixa_transmissao
2914653,201618,2.0,0,baixa_transmissao
3146503,200816,3.0,2,muito_baixa_transmissao
2103505,200301,2.0,0,baixa_transmissao
2105005,200706,10.0,2,muito_baixa_transmissao
3528205,202212,1.0,0,baixa_transmissao
3526100,201804,3.0,0,baixa_transmissao
2606804,200552,1.0,0,baixa_transmissao
3137536,201607,4.0,0,baixa_transmissao
2800670,202022,1.0,0,baixa_transmissao
4314704,202510,17.0,0,baixa_transmissao
4315701,201922,1.0,0,baixa_transmissao
2910701,201937,5.0,2,muito_baixa_transmissao
2610004,202505,1.0,0,baixa_transmissao
4209102,202317,3728.0,0,baixa_transmissao
3544509,201603,3.0,2,muito_baixa_transmissao
5215652,202514,1.0,0,baixa_transmissao
2103208,200644,2.0,0,baixa_transmissao
2933307,201323,17.0,2,muito_baixa_transmissao
2409308,202233,1.0,2,muito_baixa_transmissao
3553401,202446,12.0,0,baixa_transmissao
1100254,202313,3.0,0,baixa_transmissao
4117206,202412,12.0,0,baixa_transmissao
2806701,201821,1.0,0,baixa_transmissao
4305108,201707,3.0,0,baixa_transmissao
3162906,201101,1.0,2,muito_baixa_transmissao
3541901,201421,2.0,2,muito_baixa_transmissao
2208304,200101,1.0,0,baixa_transmissao
3526704,201125,14.0,0,baixa_transmissao
5000609,202229,6.0,0,baixa_transmissao
4310801,202420,82.0,0,baixa_transmissao
2201606,201125,10.0,0,baixa_transmissao
3170800,202133,2.0,0,baixa_transmissao
3304557,200836,65.0,0,baixa_transmissao
2100600,200349,3.0,0,baixa_transmissao
5220157,201303,8.0,2,muito_baixa_transmissao
4302105,201407,3.0,0,baixa_transmissao
4313300,201014,1.0,2,muito_baixa_transmissao
4204202,202224,10.0,0,baixa_transmissao
2509396,200908,1.0,2,muito_baixa_transmissao
