feature,count,mean,std,min,25%,50%,75%,max
ano,200000.0,2015.148705,7.1395039523456,2000.0,2010.0,2016.0,2021.0,2026.0
semana_epidemiologica,200000.0,22.1729,13.94955979739478,1.0,11.0,19.0,32.0,53.0
source_year,200000.0,2015.14766,7.138374556322785,2000.0,2010.0,2016.0,2021.0,2026.0
notificacoes,200000.0,17.518085,185.76327057008942,1.0,1.0,2.0,7.0,48477.0
qt_hospitalizados,200000.0,0.585855,4.812293082284011,0.0,0.0,0.0,0.0,1005.0
qt_obitos_agravo,200000.0,0.01027,0.1729296869348439,0.0,0.0,0.0,0.0,35.0
qt_obitos_outras_causas,200000.0,0.009375,0.11330125136496862,0.0,0.0,0.0,0.0,7.0
qt_confirmados_provaveis,200000.0,11.13352,169.253148849738,0.0,0.0,1.0,3.0,48289.0
qt_descartados,200000.0,0.025975,1.1548146896190041,0.0,0.0,0.0,0.0,449.0
qt_inconclusivos,200000.0,1.85832,30.419064801126233,0.0,0.0,0.0,0.0,4285.0
qt_dengue_alarme,200000.0,0.15752,3.2604065085281935,0.0,0.0,0.0,0.0,445.0
qt_dengue_grave,200000.0,0.013235,0.2719746396744062,0.0,0.0,0.0,0.0,56.0
qt_chikungunya,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idade_media_anos,200000.0,121.14294612225507,158.7178444423451,0.0,21.444196428571427,37.5,226.66666666666666,4400.0
atraso_notificacao_medio_dias,200000.0,27.205003754714596,402.42561347474583,-180.0,2.3949026979212737,4.0,7.0,30609.0
prop_sexo_masc,200000.0,0.4752840518838853,0.36639663966711716,0.0,0.0,0.48717948717948717,0.7727272727272727,1.0
prop_sexo_fem,200000.0,0.5239804550052671,0.3663861733596322,0.0,0.2222222222222222,0.5098039215686274,1.0,1.0
prop_gestante,200000.0,0.009241418380928984,0.07206366303525341,0.0,0.0,0.0,0.0,1.0
prop_hospitalizado,200000.0,0.0977704054622053,0.26315916422628327,0.0,0.0,0.0,0.0,1.0
