ano_semana,ano,semana_epidemiologica,notificacoes_total
202415,2024,15,420542
202412,2024,12,415450
202414,2024,14,402295
202416,2024,16,391794
202413,2024,13,378153
202411,2024,11,375131
202417,2024,17,363804
202410,2024,10,352500
202419,2024,19,324471
202409,2024,9,321834
202418,2024,18,312521
202420,2024,20,304086
202408,2024,8,294423
202421,2024,21,245484
202407,2024,7,200967
202406,2024,6,192901
201608,2016,8,156340
201609,2016,9,152238
202422,2024,22,150134
201607,2016,7,146181
201610,2016,10,145273
202405,2024,5,144353
201515,2015,15,140369
201919,2019,19,139982
201312,2013,12,138839
201315,2013,15,137857
201611,2016,11,137656
201314,2013,14,137508
201917,2019,17,136311
201512,2015,12,135915
