column,dtype,missing_count,missing_pct,unique_values
idade_media_anos,float64,18856,100.0,0
prop_acido_pept,float64,18856,100.0,0
prop_alrm_abdom,float64,18856,100.0,0
prop_alrm_hemat,float64,18856,100.0,0
prop_alrm_hepat,float64,18856,100.0,0
prop_alrm_hipot,float64,18856,100.0,0
prop_alrm_letar,float64,18856,100.0,0
prop_alrm_liq,float64,18856,100.0,0
prop_alrm_plaq,float64,18856,100.0,0
prop_alrm_sang,float64,18856,100.0,0
prop_alrm_vom,float64,18856,100.0,0
prop_artrite,float64,18856,100.0,0
prop_auto_imune,float64,18856,100.0,0
prop_chikungunya,float64,18856,100.0,0
prop_con_fhd,float64,18856,100.0,0
prop_confirmado_provavel,float64,18856,100.0,0
prop_conjuntvit,float64,18856,100.0,0
prop_criterio_clinico,float64,18856,100.0,0
prop_criterio_clinico_epi,float64,18856,100.0,0
prop_criterio_lab,float64,18856,100.0,0
prop_dengue_alarme,float64,18856,100.0,0
prop_dengue_grave,float64,18856,100.0,0
prop_descartado,float64,18856,100.0,0
prop_diabetes,float64,18856,100.0,0
prop_dor_costas,float64,18856,100.0,0
prop_dor_retro,float64,18856,100.0,0
prop_evidencia,float64,18856,100.0,0
prop_gestante,float64,18856,100.0,0
prop_grav_ast,float64,18856,100.0,0
prop_grav_consc,float64,18856,100.0,0
prop_grav_conv,float64,18856,100.0,0
prop_grav_ench,float64,18856,100.0,0
prop_grav_extre,float64,18856,100.0,0
prop_grav_hemat,float64,18856,100.0,0
prop_grav_hipot,float64,18856,100.0,0
prop_grav_insuf,float64,18856,100.0,0
prop_grav_melen,float64,18856,100.0,0
prop_grav_metro,float64,18856,100.0,0
prop_grav_mioc,float64,18856,100.0,0
prop_grav_orgao,float64,18856,100.0,0
prop_grav_pulso,float64,18856,100.0,0
prop_grav_sang,float64,18856,100.0,0
prop_grav_taqui,float64,18856,100.0,0
prop_hematolog,float64,18856,100.0,0
prop_hepatopat,float64,18856,100.0,0
prop_hipertensa,float64,18856,100.0,0
prop_inconclusivo,float64,18856,100.0,0
prop_laco_n,float64,18856,100.0,0
prop_leucopenia,float64,18856,100.0,0
prop_mani_hemor,float64,18856,100.0,0
prop_nausea,float64,18856,100.0,0
prop_obito_agravo,float64,18856,100.0,0
prop_obito_outras_causas,float64,18856,100.0,0
prop_petequia_n,float64,18856,100.0,0
prop_plasmatico,float64,18856,100.0,0
prop_renal,float64,18856,100.0,0
prop_vomito,float64,18856,100.0,0
prop_raca_amarela,float64,18326,97.1892,4
prop_raca_branca,float64,18326,97.1892,17
prop_raca_indigena,float64,18326,97.1892,2
prop_raca_parda,float64,18326,97.1892,17
prop_raca_preta,float64,18326,97.1892,13
prop_hematura,float64,17906,94.9618,3
prop_sangram,float64,17897,94.9141,2
prop_metro,float64,17871,94.7762,4
prop_hospitalizado,float64,17840,94.6118,13
prop_laco,float64,15488,82.1383,107
prop_gengivo,float64,2844,15.0827,237
prop_epistaxe,float64,2821,14.9608,303
prop_petequias,float64,2746,14.563,537
prop_artralgia,float64,2530,13.4175,665
prop_exantema,float64,2423,12.85,710
prop_mialgia,float64,2378,12.6114,604
prop_cefaleia,float64,2036,10.7976,437
prop_febre,float64,1886,10.0021,321
prop_plaq_menor,float64,1013,5.3723,1
ano,int64,0,0.0,3
ano_semana,object,0,0.0,54
atraso_notificacao_medio_dias,float64,0,0.0,2569
ibge_municipio,object,0,0.0,2087
municipio,object,0,0.0,2038
municipio_resolution,object,0,0.0,1
municipio_source_field,object,0,0.0,2
notificacoes,int64,0,0.0,261
prop_sexo_fem,float64,0,0.0,693
prop_sexo_masc,float64,0,0.0,695
qt_chikungunya,int64,0,0.0,1
qt_confirmados_provaveis,int64,0,0.0,1
qt_dengue_alarme,int64,0,0.0,1
qt_dengue_grave,int64,0,0.0,1
qt_descartados,int64,0,0.0,1
qt_hospitalizados,int64,0,0.0,4
qt_inconclusivos,int64,0,0.0,1
qt_obitos_agravo,int64,0,0.0,1
qt_obitos_outras_causas,int64,0,0.0,1
regiao,object,0,0.0,5
semana_epidemiologica,int64,0,0.0,52
source_year,int64,0,0.0,1
uf,object,0,0.0,26
week_start,object,0,0.0,54
