column,dtype,missing_count,missing_pct,unique_values
prop_con_fhd,float64,1935490,99.3212,75
prop_evidencia,float64,1932658,99.1759,147
prop_laco_n,float64,1926953,98.8832,194
prop_grav_mioc,float64,1925177,98.792,58
prop_grav_ast,float64,1925167,98.7915,79
prop_grav_orgao,float64,1925167,98.7915,159
prop_grav_sang,float64,1925164,98.7914,48
prop_grav_metro,float64,1925158,98.7911,91
prop_grav_consc,float64,1925137,98.79,182
prop_grav_ench,float64,1925132,98.7897,139
prop_grav_melen,float64,1925128,98.7895,115
prop_grav_hemat,float64,1925126,98.7894,125
prop_grav_conv,float64,1925121,98.7892,91
prop_grav_extre,float64,1925115,98.7888,168
prop_grav_hipot,float64,1925114,98.7888,140
prop_grav_insuf,float64,1925115,98.7888,133
prop_grav_taqui,float64,1925091,98.7876,197
prop_grav_pulso,float64,1925083,98.7872,145
prop_plasmatico,float64,1920413,98.5476,328
prop_mani_hemor,float64,1917244,98.3849,377
prop_alrm_hepat,float64,1877785,96.3601,367
prop_alrm_hemat,float64,1877756,96.3586,734
prop_alrm_liq,float64,1877743,96.3579,497
prop_alrm_letar,float64,1877613,96.3512,862
prop_alrm_vom,float64,1877556,96.3483,1010
prop_alrm_hipot,float64,1877550,96.348,981
prop_alrm_sang,float64,1877491,96.345,1085
prop_alrm_abdom,float64,1877270,96.3336,1320
prop_alrm_plaq,float64,1877260,96.3331,1379
prop_sangram,float64,1736204,89.0947,837
prop_metro,float64,1736032,89.0859,830
prop_hematura,float64,1735994,89.0839,743
prop_plaq_menor,float64,1710307,87.7658,5
prop_gengivo,float64,1668292,85.6098,1392
prop_petequias,float64,1667377,85.5628,2326
prop_epistaxe,float64,1666739,85.5301,1607
prop_acido_pept,float64,1074175,55.1222,4171
prop_auto_imune,float64,1074175,55.1222,4206
prop_diabetes,float64,1074175,55.1222,7742
prop_hematolog,float64,1074176,55.1222,4086
prop_hepatopat,float64,1074175,55.1222,4114
prop_hipertensa,float64,1074175,55.1222,10393
prop_renal,float64,1074175,55.1222,3886
prop_artrite,float64,1074169,55.1219,12065
prop_conjuntvit,float64,1074169,55.1219,8251
prop_dor_costas,float64,1074169,55.1219,15753
prop_dor_retro,float64,1074169,55.1219,15437
prop_leucopenia,float64,1074169,55.1219,9162
prop_nausea,float64,1074169,55.1219,15562
prop_petequia_n,float64,1074169,55.1219,10438
prop_vomito,float64,1074169,55.1219,13362
prop_laco,float64,996813,51.1523,8786
prop_artralgia,float64,808814,41.5049,16283
prop_exantema,float64,808377,41.4825,14529
prop_mialgia,float64,807388,41.4318,15110
prop_cefaleia,float64,804958,41.3071,14937
prop_febre,float64,804013,41.2586,14249
prop_hospitalizado,float64,719182,36.9054,9155
prop_obito_agravo,float64,648748,33.291,2384
prop_obito_outras_causas,float64,648748,33.291,1868
prop_criterio_clinico,float64,501669,25.7436,4644
prop_criterio_clinico_epi,float64,501669,25.7436,21939
prop_criterio_lab,float64,501669,25.7436,21856
prop_chikungunya,float64,311955,16.0082,1
prop_confirmado_provavel,float64,311955,16.0082,19912
prop_dengue_alarme,float64,311955,16.0082,6670
prop_dengue_grave,float64,311955,16.0082,2654
prop_descartado,float64,311955,16.0082,2924
prop_inconclusivo,float64,311955,16.0082,12813
prop_gestante,float64,289526,14.8573,6134
idade_media_anos,float64,289404,14.851,177786
prop_raca_amarela,float64,121591,6.2395,7258
prop_raca_branca,float64,121591,6.2395,23447
prop_raca_indigena,float64,121591,6.2395,4209
prop_raca_parda,float64,121591,6.2395,22664
prop_raca_preta,float64,121591,6.2395,11335
prop_sexo_fem,float64,63,0.0032,14543
prop_sexo_masc,float64,63,0.0032,14522
atraso_notificacao_medio_dias,float64,4,0.0002,81189
ano,int64,0,0.0,124
ano_semana,object,0,0.0,4873
ibge_municipio,object,0,0.0,5565
municipio,object,0,0.0,5292
municipio_resolution,object,0,0.0,3
municipio_source_field,object,0,0.0,2
notificacoes,int64,0,0.0,2722
qt_chikungunya,int64,0,0.0,1
qt_confirmados_provaveis,int64,0,0.0,2301
qt_dengue_alarme,int64,0,0.0,253
qt_dengue_grave,int64,0,0.0,52
qt_descartados,int64,0,0.0,112
qt_hospitalizados,int64,0,0.0,276
qt_inconclusivos,int64,0,0.0,962
qt_obitos_agravo,int64,0,0.0,33
qt_obitos_outras_causas,int64,0,0.0,12
regiao,object,0,0.0,5
semana_epidemiologica,int64,0,0.0,53
source_year,int64,0,0.0,27
uf,object,0,0.0,27
week_start,object,0,0.0,4870
