ano,municipio_semana_rows,municipios_ativos,notificacoes_total,semana_min,semana_max
1999,8,8,13,199952,199952
2000,18834,2087,171654,200001,200053
2001,42164,3512,485989,200101,200153
2002,57006,4303,885534,200201,200252
2003,47358,3834,416298,200301,200353
2004,26375,3079,136524,200401,200452
2005,36110,3404,260443,200501,200552
2006,45269,3788,410039,200601,200652
2007,62686,4324,714498,200701,200752
2008,62057,4414,914831,200801,200853
2009,52280,3986,599275,200901,200952
2010,78074,4572,1371679,201001,201052
2011,81581,4724,1144368,201101,201152
2012,71431,4410,944889,201201,201252
2013,90340,4799,2022238,201301,201352
2014,73932,4494,966369,201401,201453
2015,102686,4951,2397091,201501,201552
2016,94407,5132,2296878,201601,201652
2017,63208,4495,518345,201701,201752
2018,59808,4350,478768,201801,201852
2019,101774,4991,2261441,201901,201952
2020,90286,4721,1494587,202001,202053
2021,74830,4477,1009791,202101,202152
2022,83267,5018,1404535,202201,202252
2023,84257,4992,1644709,202301,202353
2024,124071,5485,6560720,202401,202452
2025,90638,5156,1642302,202501,202553
2026,27238,4388,258079,202601,202616
