uf,municipios,linhas,cobertura_real_pct,notificacoes,pct_notif_BR,pior_ano_pct,ano_pior,munis_ok80,pct_munis_ok80,tier
DF,1,263,99.6,239002.0,3.1,98.1,2020,1,100.0,A - entra
MG,853,223486,93.8,1314244.0,16.8,89.8,2021,784,91.9,A - entra
RJ,92,24104,93.3,126594.0,1.6,82.9,2020,89,96.7,A - entra
GO,246,64452,92.4,605591.0,7.7,89.0,2020,221,89.8,A - entra
ES,78,20464,90.1,252115.0,3.2,81.6,2020,62,79.5,A - entra
SC,293,76766,85.6,291087.0,3.7,77.7,2021,203,69.3,B - entra
SP,645,168990,84.2,2152157.0,27.5,69.9,2021,459,71.2,B - entra
TO,139,36418,80.1,77833.0,1.0,62.3,2022,101,72.7,B - entra
PE,185,48470,78.5,186069.0,2.4,55.1,2022,112,60.5,C - avaliar
PB,223,58426,78.4,87746.0,1.1,63.0,2021,144,64.6,C - avaliar
BA,417,109254,76.7,312573.0,4.0,63.0,2021,264,63.3,C - avaliar
PR,399,104538,75.3,925824.0,11.8,53.3,2021,199,49.9,C - avaliar
RN,167,43754,67.4,109547.0,1.4,49.6,2021,84,50.3,D - fora
CE,184,48208,66.6,200790.0,2.6,45.7,2021,53,28.8,D - fora
PI,224,58688,65.0,56660.0,0.7,45.2,2021,105,46.9,D - fora
MA,217,56854,63.7,24035.0,0.3,47.1,2021,97,44.7,D - fora
PA,144,37729,62.1,37580.0,0.5,44.5,2021,42,29.2,D - fora
AL,102,26724,61.8,79484.0,1.0,41.9,2022,44,43.1,D - fora
MS,79,20698,60.9,255621.0,3.3,40.2,2022,22,27.8,D - fora
SE,75,19650,56.3,29404.0,0.4,30.9,2022,27,36.0,D - fora
AM,62,16244,49.5,45089.0,0.6,31.7,2021,18,29.0,D - fora
RS,493,129166,46.9,133342.0,1.7,44.7,2022,210,42.6,D - fora
AP,16,4192,45.1,3707.0,0.0,25.5,2021,7,43.8,D - fora
RO,52,13624,44.7,38267.0,0.5,8.0,2022,2,3.8,D - fora
AC,22,5790,41.5,73330.0,0.9,14.2,2021,2,9.1,D - fora
MT,142,37204,40.4,163624.0,2.1,18.9,2021,20,14.1,D - fora
RR,15,3930,21.2,8047.0,0.1,2.3,2021,0,0.0,D - fora
