uf,municipios,inmet_cobertura_pct,sinan_semanas_com_caso_pct,sinan_munis_serie_utilizavel_pct,cobertura_conjunta_pct,atraso_notificacao_mediano_dias,confirmacao_laboratorial_pct,notificacoes,pct_notif_BR
DF,1,99.6,100.0,100.0,99.6,6.4,78.4,239002,3.1
SP,645,84.2,52.4,89.0,44.3,4.0,66.9,2152157,27.5
GO,246,92.4,45.5,86.2,43.0,4.0,54.8,605591,7.7
ES,78,90.1,42.8,89.7,39.6,4.0,48.3,252115,3.2
RJ,92,93.3,41.5,75.0,39.5,4.6,56.3,126594,1.6
MS,79,60.9,57.9,100.0,38.3,3.1,50.9,255621,3.3
PR,399,75.3,38.5,70.7,29.2,3.0,58.4,925824,11.8
PE,185,78.5,35.9,73.5,28.2,4.0,28.0,186069,2.4
MG,853,93.8,29.5,55.7,27.5,3.4,47.0,1314244,16.8
AC,22,41.5,59.6,90.9,22.5,4.1,40.0,73330,0.9
CE,184,66.6,34.4,68.5,22.5,3.8,55.3,200790,2.6
BA,417,76.7,28.2,62.4,22.4,4.0,36.4,312573,4.0
MT,142,40.4,45.2,82.4,18.4,3.9,65.6,163624,2.1
TO,139,80.1,22.5,44.6,18.2,4.0,40.7,77833,1.0
RN,167,67.4,25.2,51.5,17.0,4.0,25.2,109547,1.4
PB,223,78.4,20.2,38.1,16.0,3.8,36.7,87746,1.1
SE,75,56.3,26.5,52.0,16.0,4.5,70.4,29404,0.4
RO,52,44.7,40.9,84.6,15.3,4.3,70.4,38267,0.5
AL,102,61.8,26.4,56.9,15.0,3.5,18.5,79484,1.0
PA,144,62.1,23.0,45.8,14.6,5.0,46.8,37580,0.5
AP,16,45.1,18.3,25.0,12.2,7.0,73.6,3707,0.0
RR,15,21.2,33.0,73.3,11.2,5.0,53.1,8047,0.1
SC,293,85.6,13.3,20.5,11.0,4.0,79.4,291087,3.7
AM,62,49.5,24.1,46.8,10.7,4.6,62.5,45089,0.6
PI,224,65.0,10.6,12.1,7.2,4.3,36.8,56660,0.7
MA,217,63.7,10.3,13.8,7.1,4.2,32.3,24035,0.3
RS,493,46.9,7.7,9.7,4.2,4.5,77.1,133342,1.7
