UF,n_rows,R2_log,MAE_orig
SC,49825,0.8231,5.5
SP,109654,0.8126,17.9
PR,67890,0.7944,7.3
RS,83835,0.7615,2.5
ES,13433,0.7571,12.6
RJ,15665,0.7542,14.1
MG,145259,0.7409,9.3
GO,41983,0.7316,6.7
MS,13443,0.6608,3.5
AP,2724,0.6458,3.4
BA,70945,0.6435,3.0
AL,17352,0.6114,1.1
MT,24209,0.6084,3.1
AM,10557,0.5982,1.5
AC,3757,0.5742,4.1
PE,31506,0.5668,1.4
RN,28408,0.5501,1.0
CE,31299,0.5362,0.9
PI,38093,0.5322,0.7
DF,180,0.523,1363.0
PA,24522,0.5205,1.6
TO,23669,0.4977,0.9
RO,8852,0.4497,1.6
PB,37919,0.4391,0.6
SE,12755,0.3952,0.5
MA,36908,0.3693,0.7
RR,2552,0.3009,0.7
