uf,regiao,R2_log_sinan,R2_log_full,delta_R2_log,RMSE_sinan,RMSE_full,n
AC,Norte,0.5899,0.5868,-0.0031,16.03,16.95,1538
AL,Nordeste,0.6018,0.6079,0.0061,6.94,7.07,11010
AM,Norte,0.6405,0.6211,-0.0194,5.33,5.98,4109
AP,Norte,0.7391,0.7422,0.0031,16.97,17.21,937
BA,Nordeste,0.6439,0.6397,-0.0041,36.84,37.57,36665
CE,Nordeste,0.515,0.5112,-0.0039,5.0,4.97,15810
DF,Centro-Oeste,0.4156,0.4657,0.0501,5121.47,4987.77,127
ES,Sudeste,0.7336,0.7321,-0.0015,66.48,67.29,9299
GO,Centro-Oeste,0.7651,0.7741,0.0091,83.5,75.03,18263
MA,Nordeste,0.4098,0.398,-0.0119,4.56,4.6,11592
MG,Sudeste,0.7552,0.7611,0.0059,196.38,177.84,77073
MS,Centro-Oeste,0.5737,0.575,0.0013,9.85,9.81,8554
MT,Centro-Oeste,0.6154,0.615,-0.0003,16.09,15.74,11876
PA,Norte,0.5574,0.5559,-0.0015,7.05,7.58,10917
PB,Nordeste,0.4657,0.4464,-0.0193,5.06,5.46,22121
PE,Nordeste,0.5979,0.5965,-0.0014,7.19,7.41,18070
PI,Nordeste,0.5735,0.5713,-0.0021,6.77,6.79,18733
PR,Sul,0.7781,0.7795,0.0014,43.21,43.05,35950
RJ,Sudeste,0.7868,0.7853,-0.0015,245.72,239.47,10789
RN,Nordeste,0.5884,0.5794,-0.009,8.1,8.0,14287
RO,Norte,0.4629,0.4503,-0.0126,8.2,8.44,1995
RR,Norte,0.4501,0.4715,0.0214,1.9,1.83,938
RS,Sul,0.7434,0.737,-0.0063,49.72,54.32,57589
SC,Sul,0.7932,0.7915,-0.0017,113.45,110.5,33827
SE,Nordeste,0.3875,0.3163,-0.0712,1.39,1.54,8078
SP,Sudeste,0.7902,0.7957,0.0055,565.26,562.24,66928
TO,Norte,0.578,0.5742,-0.0038,11.53,11.57,8689
