feature,mean_abs_shap,is_climate
notificacoes_lag_1,2.1203406,False
notificacoes_media_movel_3,1.6575774,False
notificacoes_diff_4,1.4546088,False
qt_confirmados_provaveis,1.0041294,False
week_of_year_cos,0.7285307,False
notificacoes_razao_media_4,0.5893607,False
notificacoes_min_movel_3,0.4341071,False
notificacoes_razao_media_8,0.38068098,False
notificacoes_media_movel_4,0.29788548,False
notificacoes_diff_1,0.25574747,False
label_surto_local,0.252141,False
label_alerta_q90,0.22754352,False
notificacoes_max_movel_3,0.22335035,False
notificacoes_max_movel_4,0.21290615,False
notificacoes_lag_2,0.20676222,False
qt_hospitalizados,0.19579037,False
notificacoes_pct_change_1,0.16109662,False
notificacoes_lag_12,0.107800886,False
notificacoes_min_movel_4,0.099269286,False
rain_sum_mm_mm4,0.09087485,True
prop_confirmado_provavel,0.0872055,False
prop_criterio_clinico_epi,0.07536911,False
notificacoes_pct_change_4,0.07129395,False
prop_criterio_lab,0.0625989,False
notificacoes_lag_4,0.058907166,False
qt_dengue_alarme,0.055538476,False
label_alerta_q75,0.050717074,False
is_zero_notification_week,0.04466336,False
notificacoes_min_movel_12,0.03748622,False
label_semana_critica,0.0365709,False
atraso_notificacao_medio_dias,0.03533062,False
qt_inconclusivos,0.034089226,False
pressure_mean_mbar,0.033880014,True
humidity_mean_pct_mm4,0.033312697,True
temp_min_c,0.032604996,True
notificacoes_max_movel_8,0.03132568,False
humidity_mean_pct,0.02895399,True
notificacoes_aceleracao_1,0.02842091,False
notificacoes_min_movel_8,0.026159566,False
notificacoes_media_movel_12,0.02527129,False
week_of_year_sin,0.024958305,False
prop_raca_preta,0.024769578,False
prop_dengue_alarme,0.021673001,False
year,0.02069018,False
prop_raca_parda,0.020661743,False
notificacoes_lag_8,0.020620845,False
qt_obitos_agravo,0.020604258,False
label_crescimento_acelerado,0.01936354,False
indice_confirmacao,0.019343397,False
prop_gengivo,0.019122332,False
notificacoes_media_movel_8,0.017843187,False
humidity_mean_pct_lag_8,0.01596615,True
notificacoes_lag_3,0.015539961,False
notificacoes_max_movel_12,0.013740116,False
rain_sum_mm_lag_1,0.013186044,True
indice_carga_clinica,0.012860091,False
wind_speed_mean_ms,0.012536031,True
qt_obitos_outras_causas,0.011771012,False
rain_sum_mm_lag_2,0.0116048185,True
indice_desfecho_severo,0.010594892,False
prop_sexo_fem,0.01051278,False
rain_sum_mm,0.010144064,True
rain_mean_mm,0.009817411,True
indice_hemorragico,0.009661019,False
radiation_mean_kj,0.009626133,True
temp_mean_c,0.0096137645,True
